shipment_id,contract_ref,sales_order,material_code,product,quantity_mt,load_port,discharge_port,discharge_port_country,mode_of_transport,vessel,shipment_month,bl_date,bl_quantity_mt,lc_number,lc_issue_date,bl_available,lc_available,qty_variance_mt,qty_variance_pct,lc_bl_lag_days,lc_backdated_vs_bl
SHP-700027,CTR-2025027,SO-500027,MAT-1001,Crude Palm Oil (CPO),7472.7,Lahad Datu,"West Port, Malaysia",Malaysia,Sea,MT Sabahan Pride,2026-07,2026-07-17,7548.8,LC-90027,2026-06-14,True,True,76.1,1.02,-33.0,False
SHP-700028,CTR-2025028,SO-500028,MAT-1005,Palm Kernel Oil (PKO),1899.3,Bintulu,Alexandria,Egypt,Sea,MT Labuan Wave,2025-11,2025-11-06,1919.0,,,True,False,19.7,1.04,,False
SHP-700029,CTR-2025029,SO-500029,MAT-1005,Palm Kernel Oil (PKO),7220.7,Pasir Gudang,Chennai,India,Sea,MT Labuan Wave,2026-03,,,,,False,False,,,,False
SHP-700030,CTR-2025030,SO-500030,MAT-1002,RBD Palm Olein,2209.5,Bintulu,Singapore,Singapore,Sea,MT Perak Navigator,2025-01,2025-03-01,2238.3,,,True,False,28.8,1.3,,False
SHP-700031,CTR-2025031,SO-500031,MAT-1001,Crude Palm Oil (CPO),552.1,Port Klang,Shanghai,China,Sea,MT Sabahan Pride,2025-06,2025-06-17,541.7,,,True,False,-10.4,-1.88,,False
SHP-700032,CTR-2025032,SO-500032,MAT-1004,RBD Palm Oil,1399.0,Westport,Rotterdam,Netherlands,Sea,MT Perak Navigator,2025-06,2025-07-19,1393.3,LC-90032,2025-06-14,True,True,-5.7,-0.41,-35.0,False
SHP-700033,CTR-2025033,SO-500033,MAT-1003,RBD Palm Stearin,5772.6,Port Klang,Jeddah,Saudi Arabia,Sea,MT Pahang Voyager,2025-11,2025-10-28,5672.1,LC-90033,2025-10-04,True,True,-100.5,-1.74,-24.0,False
SHP-700034,CTR-2025034,SO-500034,MAT-1004,RBD Palm Oil,4229.4,Westport,Colombo,Sri Lanka,Sea,MT Sabahan Pride,2025-09,2025-09-23,4110.3,,,True,False,-119.1,-2.82,,False
SHP-700035,CTR-2025035,SO-500035,MAT-1006,Palm Fatty Acid Distillate (PFAD),5071.7,Pasir Gudang,Kandla,India,Sea,MT Kinabalu Spirit,2026-03,,,,,False,False,,,,False
SHP-700036,CTR-2025036,SO-500036,MAT-1006,Palm Fatty Acid Distillate (PFAD),2589.8,Lahad Datu,Chittagong,Bangladesh,Sea,MT Sarawak Trader,2026-01,2026-01-06,2575.5,LC-90036,2026-01-20,True,True,-14.3,-0.55,14.0,True
SHP-700037,CTR-2025037,SO-500037,MAT-1006,Palm Fatty Acid Distillate (PFAD),7892.4,Bintulu,Kandla,India,Sea,MT Sabahan Pride,2025-08,2025-08-24,7956.2,,,True,False,63.8,0.81,,False
SHP-700038,CTR-2025038,SO-500038,MAT-1006,Palm Fatty Acid Distillate (PFAD),2282.3,Pasir Gudang,Jeddah,Saudi Arabia,Sea,MT Melaka Horizon,2026-03,2026-03-21,2286.0,,,True,False,3.7,0.16,,False
SHP-700039,CTR-2025039,SO-500039,MAT-1007,Palm Methyl Ester Biodiesel (B100),5251.5,Port Klang,"West Port, Malaysia",Malaysia,Sea,MT Perak Navigator,2025-12,,,,,False,False,,,,False
SHP-700040,CTR-2025040,SO-500040,MAT-1008,Palm Kernel Expeller (PKE),6764.8,Bintulu,Singapore,Singapore,Sea,MT Perak Navigator,2025-09,2025-08-27,6761.7,LC-90040,2025-09-04,True,True,-3.1,-0.05,8.0,True
SHP-700041,CTR-2025041,SO-500041,MAT-1004,RBD Palm Oil,5581.7,Port Klang,Chennai,India,Sea,MT Labuan Wave,2025-09,2025-09-29,5594.3,LC-90041,2025-08-30,True,True,12.6,0.23,-30.0,False
SHP-700042,CTR-2025042,SO-500042,MAT-1008,Palm Kernel Expeller (PKE),1807.7,Westport,Alexandria,Egypt,Sea,MT Pahang Voyager,2026-03,2026-02-24,1765.9,LC-90042,2026-01-20,True,True,-41.8,-2.31,-35.0,False
SHP-700043,CTR-2025043,SO-500043,MAT-1001,Crude Palm Oil (CPO),3058.0,Port Klang,Alexandria,Egypt,Sea,MT Perak Navigator,2026-05,2026-06-03,3100.4,,,True,False,42.4,1.39,,False
SHP-700044,CTR-2025044,SO-500044,MAT-1008,Palm Kernel Expeller (PKE),2434.6,Bintulu,Rotterdam,Netherlands,Sea,MT Pahang Voyager,2026-04,2026-04-14,2426.0,LC-90044,2026-03-11,True,True,-8.6,-0.35,-34.0,False
SHP-700045,CTR-2025045,SO-500045,MAT-1005,Palm Kernel Oil (PKO),2313.9,Bintulu,Kandla,India,Sea,MT Perak Navigator,2025-09,2025-10-07,2348.7,,,True,False,34.8,1.5,,False
SHP-700046,CTR-2025046,SO-500046,MAT-1003,RBD Palm Stearin,5248.3,Bintulu,Guangzhou,China,Sea,MT Melaka Horizon,2025-06,2025-07-02,5281.4,,,True,False,33.1,0.63,,False
SHP-700047,CTR-2025047,SO-500047,MAT-1007,Palm Methyl Ester Biodiesel (B100),7228.3,Kuantan,Alexandria,Egypt,Sea,MT Melaka Horizon,2026-05,2026-06-07,7243.5,,,True,False,15.2,0.21,,False
SHP-700048,CTR-2025048,SO-500048,MAT-1007,Palm Methyl Ester Biodiesel (B100),1131.0,Kuantan,Singapore,Singapore,Sea,MT Sarawak Trader,2025-11,2025-12-14,1097.6,LC-90048,2025-11-19,True,True,-33.4,-2.95,-25.0,False
SHP-700049,CTR-2025049,SO-500049,MAT-1007,Palm Methyl Ester Biodiesel (B100),1261.0,Kuantan,Rotterdam,Netherlands,Sea,MT Kinabalu Spirit,2026-01,,,,,False,False,,,,False
SHP-700050,CTR-2025050,SO-500050,MAT-1002,RBD Palm Olein,1706.1,Westport,Guangzhou,China,Sea,MT Sarawak Trader,2025-02,2025-03-08,1710.5,,,True,False,4.4,0.26,,False
SHP-700051,CTR-2025051,SO-500051,MAT-1006,Palm Fatty Acid Distillate (PFAD),2182.0,Kuantan,Los Angeles,USA,Sea,MT Sabahan Pride,2026-05,2026-05-26,2198.0,LC-90051,2026-05-16,True,True,16.0,0.73,-10.0,False
SHP-700052,CTR-2025052,SO-500052,MAT-1006,Palm Fatty Acid Distillate (PFAD),5372.2,Port Klang,Colombo,Sri Lanka,Sea,MT Pahang Voyager,2025-03,2025-03-11,5236.2,LC-90052,2025-02-10,True,True,-136.0,-2.53,-29.0,False
SHP-700053,CTR-2025053,SO-500053,MAT-1008,Palm Kernel Expeller (PKE),3257.9,Lahad Datu,Kandla,India,Sea,MT Perak Navigator,2025-06,2025-06-04,3224.2,LC-90053,2025-05-06,True,True,-33.7,-1.03,-29.0,False
SHP-700054,CTR-2025054,SO-500054,MAT-1005,Palm Kernel Oil (PKO),7190.3,Port Klang,Chittagong,Bangladesh,Sea,MT Melaka Horizon,2025-07,2025-07-14,7155.3,,,True,False,-35.0,-0.49,,False
SHP-700055,CTR-2025055,SO-500055,MAT-1002,RBD Palm Olein,4826.8,Pasir Gudang,Los Angeles,USA,Sea,MT Perak Navigator,2025-09,2025-10-25,4856.4,,,True,False,29.6,0.61,,False
SHP-700056,CTR-2025056,SO-500056,MAT-1006,Palm Fatty Acid Distillate (PFAD),2605.8,Kuantan,"West Port, Malaysia",Malaysia,Land,,2025-04,2025-04-25,2650.2,LC-90056,2025-03-24,True,True,44.4,1.7,-32.0,False
SHP-700057,CTR-2025057,SO-500057,MAT-1005,Palm Kernel Oil (PKO),7654.5,Lahad Datu,Los Angeles,USA,Sea,MT Sarawak Trader,2025-08,2025-08-04,7780.2,LC-90057,2025-08-12,True,True,125.7,1.64,8.0,True
SHP-700058,CTR-2025058,SO-500058,MAT-1004,RBD Palm Oil,3711.4,Lahad Datu,Lagos,Nigeria,Sea,MT Labuan Wave,2026-04,2026-05-12,3758.4,,,True,False,47.0,1.27,,False
SHP-700059,CTR-2025059,SO-500059,MAT-1006,Palm Fatty Acid Distillate (PFAD),2708.4,Pasir Gudang,Karachi,Pakistan,Sea,MT Kinabalu Spirit,2025-09,2025-09-23,2670.1,,,True,False,-38.3,-1.41,,False
SHP-700060,CTR-2025060,SO-500060,MAT-1007,Palm Methyl Ester Biodiesel (B100),1771.2,Westport,Istanbul,Turkey,Sea,MT Kinabalu Spirit,2025-10,2025-09-25,1768.5,LC-90060,2025-09-06,True,True,-2.7,-0.15,-19.0,False
SHP-700061,CTR-2025061,SO-500061,MAT-1005,Palm Kernel Oil (PKO),1228.8,Pasir Gudang,Chittagong,Bangladesh,Sea,MT Perak Navigator,2025-10,2025-10-19,1200.5,,,True,False,-28.3,-2.3,,False
SHP-700062,CTR-2025062,SO-500062,MAT-1006,Palm Fatty Acid Distillate (PFAD),4387.5,Pasir Gudang,Lagos,Nigeria,Sea,MT Sabahan Pride,2025-12,2026-01-01,4408.8,,,True,False,21.3,0.49,,False
SHP-700063,CTR-2025063,SO-500063,MAT-1004,RBD Palm Oil,5768.6,Kuantan,Jeddah,Saudi Arabia,Sea,MT Sarawak Trader,2025-08,2025-07-30,5829.0,,,True,False,60.4,1.05,,False
SHP-700064,CTR-2025064,SO-500064,MAT-1006,Palm Fatty Acid Distillate (PFAD),6575.9,Port Klang,Karachi,Pakistan,Sea,MT Kinabalu Spirit,2025-09,2025-10-10,6546.7,,,True,False,-29.2,-0.44,,False
SHP-700065,CTR-2025065,SO-500065,MAT-1002,RBD Palm Olein,4261.4,Lahad Datu,Chennai,India,Sea,MT Labuan Wave,2026-06,2026-06-23,4303.1,LC-90065,2026-06-08,True,True,41.7,0.98,-15.0,False
SHP-700066,CTR-2025066,SO-500066,MAT-1002,RBD Palm Olein,7175.0,Kuantan,Kandla,India,Sea,MT Selangor Star,2026-05,2026-05-29,7167.2,LC-90066,2026-06-17,True,True,-7.8,-0.11,19.0,True
SHP-700067,CTR-2025067,SO-500067,MAT-1002,RBD Palm Olein,769.6,Kuantan,Los Angeles,USA,Sea,MT Labuan Wave,2025-10,2025-10-25,757.5,,,True,False,-12.1,-1.57,,False
SHP-700068,CTR-2025068,SO-500068,MAT-1005,Palm Kernel Oil (PKO),4931.2,Port Klang,Chittagong,Bangladesh,Sea,MT Sarawak Trader,2026-04,,,,,False,False,,,,False
SHP-700069,CTR-2025069,SO-500069,MAT-1002,RBD Palm Olein,6669.5,Kuantan,Chennai,India,Sea,MT Sarawak Trader,2025-08,2025-07-14,6643.6,,,True,False,-25.9,-0.39,,False
SHP-700070,CTR-2025070,SO-500070,MAT-1008,Palm Kernel Expeller (PKE),6275.0,Westport,Colombo,Sri Lanka,Sea,MT Melaka Horizon,2025-11,2025-11-08,6113.5,,,True,False,-161.5,-2.57,,False
SHP-700071,CTR-2025071,SO-500071,MAT-1005,Palm Kernel Oil (PKO),887.6,Port Klang,Rotterdam,Netherlands,Sea,MT Sarawak Trader,2025-07,2025-07-15,889.3,,,True,False,1.7,0.19,,False
SHP-700072,CTR-2025072,SO-500072,MAT-1007,Palm Methyl Ester Biodiesel (B100),5945.7,Lahad Datu,Istanbul,Turkey,Sea,MT Kinabalu Spirit,2025-11,2025-12-20,6003.7,LC-90072,2025-11-17,True,True,58.0,0.98,-33.0,False
SHP-700073,CTR-2025073,SO-500073,MAT-1001,Crude Palm Oil (CPO),2531.2,Bintulu,Alexandria,Egypt,Sea,MT Selangor Star,2025-09,,,,,False,False,,,,False
SHP-700074,CTR-2025074,SO-500074,MAT-1003,RBD Palm Stearin,690.1,Bintulu,Guangzhou,China,Sea,MT Perak Navigator,2025-11,2025-11-22,683.5,LC-90074,2025-11-02,True,True,-6.6,-0.96,-20.0,False
SHP-700075,CTR-2025075,SO-500075,MAT-1006,Palm Fatty Acid Distillate (PFAD),1799.7,Kuantan,Jeddah,Saudi Arabia,Sea,MT Kinabalu Spirit,2025-07,2025-07-28,1810.0,LC-90075,2025-07-16,True,True,10.3,0.57,-12.0,False
SHP-700076,CTR-2025076,SO-500076,MAT-1002,RBD Palm Olein,5451.5,Lahad Datu,Guangzhou,China,Sea,MT Melaka Horizon,2026-01,2025-12-16,5489.1,,,True,False,37.6,0.69,,False
SHP-700077,CTR-2025077,SO-500077,MAT-1008,Palm Kernel Expeller (PKE),4657.7,Port Klang,Lagos,Nigeria,Sea,MT Selangor Star,2026-02,2026-02-08,4575.7,,,True,False,-82.0,-1.76,,False
SHP-700078,CTR-2025078,SO-500078,MAT-1001,Crude Palm Oil (CPO),3169.8,Westport,Chittagong,Bangladesh,Sea,MT Kinabalu Spirit,2025-06,,,,,False,False,,,,False
SHP-700079,CTR-2025079,SO-500079,MAT-1002,RBD Palm Olein,1370.5,Bintulu,Kandla,India,Sea,MT Sarawak Trader,2025-09,,,LC-90079,2025-09-08,False,True,,,,False
SHP-700080,CTR-2025080,SO-500080,MAT-1003,RBD Palm Stearin,6916.0,Lahad Datu,Alexandria,Egypt,Sea,MT Melaka Horizon,2026-05,2026-05-19,6878.5,LC-90080,2026-06-05,True,True,-37.5,-0.54,17.0,True
SHP-700081,CTR-2025081,SO-500081,MAT-1005,Palm Kernel Oil (PKO),4051.0,Lahad Datu,Chittagong,Bangladesh,Sea,MT Labuan Wave,2025-11,2025-11-23,4010.2,,,True,False,-40.8,-1.01,,False
SHP-700082,CTR-2025082,SO-500082,MAT-1008,Palm Kernel Expeller (PKE),5118.9,Westport,Shanghai,China,Sea,MT Pahang Voyager,2026-02,,,,,False,False,,,,False
SHP-700083,CTR-2025083,SO-500083,MAT-1007,Palm Methyl Ester Biodiesel (B100),3309.6,Bintulu,Colombo,Sri Lanka,Sea,MT Selangor Star,2026-05,2026-06-16,3319.3,LC-90083,2026-05-19,True,True,9.7,0.29,-28.0,False
SHP-700084,CTR-2025084,SO-500084,MAT-1002,RBD Palm Olein,1722.0,Kuantan,Singapore,Singapore,Sea,MT Selangor Star,2026-05,2026-04-15,1672.6,,,True,False,-49.4,-2.87,,False
SHP-700085,CTR-2025085,SO-500085,MAT-1007,Palm Methyl Ester Biodiesel (B100),4893.3,Pasir Gudang,Kandla,India,Sea,MT Kinabalu Spirit,2026-01,2026-01-01,4841.5,,,True,False,-51.8,-1.06,,False
SHP-700086,CTR-2025086,SO-500086,MAT-1002,RBD Palm Olein,5324.7,Bintulu,Kandla,India,Sea,MT Sarawak Trader,2025-09,2025-09-06,5267.8,LC-90086,2025-08-26,True,True,-56.9,-1.07,-11.0,False
SHP-700087,CTR-2025087,SO-500087,MAT-1006,Palm Fatty Acid Distillate (PFAD),7708.9,Westport,Guangzhou,China,Sea,MT Selangor Star,2025-12,2025-11-22,7504.4,,,True,False,-204.5,-2.65,,False
SHP-700088,CTR-2025088,SO-500088,MAT-1004,RBD Palm Oil,1255.8,Lahad Datu,Singapore,Singapore,Sea,MT Sarawak Trader,2026-03,,,,,False,False,,,,False
SHP-700089,CTR-2025089,SO-500089,MAT-1005,Palm Kernel Oil (PKO),5622.6,Westport,Istanbul,Turkey,Sea,MT Sarawak Trader,2026-05,2026-06-03,5460.5,LC-90089,2026-05-02,True,True,-162.1,-2.88,-32.0,False
SHP-700090,CTR-2025090,SO-500090,MAT-1004,RBD Palm Oil,6608.5,Kuantan,"West Port, Malaysia",Malaysia,Land,,2025-12,,,,,False,False,,,,False
SHP-700091,CTR-2025091,SO-500091,MAT-1007,Palm Methyl Ester Biodiesel (B100),5725.5,Lahad Datu,Chennai,India,Sea,MT Sarawak Trader,2025-03,2025-02-21,5764.2,,,True,False,38.7,0.68,,False
SHP-700092,CTR-2025092,SO-500092,MAT-1004,RBD Palm Oil,6526.1,Bintulu,Karachi,Pakistan,Sea,MT Sarawak Trader,2025-08,2025-09-25,6593.6,LC-90092,2025-09-14,True,True,67.5,1.03,-11.0,False
SHP-700093,CTR-2025093,SO-500093,MAT-1002,RBD Palm Olein,7928.8,Pasir Gudang,Karachi,Pakistan,Sea,MT Selangor Star,2025-06,2025-07-03,7998.7,,,True,False,69.9,0.88,,False
SHP-700094,CTR-2025094,SO-500094,MAT-1005,Palm Kernel Oil (PKO),3056.0,Pasir Gudang,Rotterdam,Netherlands,Sea,MT Sabahan Pride,2026-06,2026-07-12,3029.9,,,True,False,-26.1,-0.85,,False
SHP-700095,CTR-2025095,SO-500095,MAT-1007,Palm Methyl Ester Biodiesel (B100),6131.5,Lahad Datu,Los Angeles,USA,Sea,MT Kinabalu Spirit,2025-09,,,LC-90095,2025-09-11,False,True,,,,False
SHP-700096,CTR-2025096,SO-500096,MAT-1005,Palm Kernel Oil (PKO),7269.1,Bintulu,Guangzhou,China,Sea,MT Labuan Wave,2026-02,2026-01-29,7376.5,LC-90096,2025-12-31,True,True,107.4,1.48,-29.0,False
SHP-700097,CTR-2025097,SO-500097,MAT-1002,RBD Palm Olein,3419.0,Kuantan,"West Port, Malaysia",Malaysia,Sea,MT Kinabalu Spirit,2025-09,2025-09-01,3371.0,LC-90097,2025-09-11,True,True,-48.0,-1.4,10.0,True
SHP-700098,CTR-2025098,SO-500098,MAT-1004,RBD Palm Oil,7625.5,Westport,Istanbul,Turkey,Sea,MT Melaka Horizon,2025-05,2025-05-04,7567.7,LC-90098,2025-04-11,True,True,-57.8,-0.76,-23.0,False
SHP-700099,CTR-2025099,SO-500099,MAT-1007,Palm Methyl Ester Biodiesel (B100),2699.1,Bintulu,Chennai,India,Sea,MT Labuan Wave,2026-06,2026-06-16,2719.7,,,True,False,20.6,0.76,,False
SHP-700100,CTR-2025100,SO-500100,MAT-1006,Palm Fatty Acid Distillate (PFAD),6436.8,Pasir Gudang,Guangzhou,China,Sea,MT Sabahan Pride,2026-02,,,LC-90100,2026-02-06,False,True,,,,False
SHP-700101,CTR-2025101,SO-500101,MAT-1001,Crude Palm Oil (CPO),4208.2,Westport,Shanghai,China,Sea,MT Sabahan Pride,2025-02,2025-03-13,4174.9,,,True,False,-33.3,-0.79,,False
SHP-700102,CTR-2025102,SO-500102,MAT-1004,RBD Palm Oil,7157.8,Westport,Los Angeles,USA,Sea,MT Selangor Star,2025-08,,,,,False,False,,,,False
SHP-700103,CTR-2025103,SO-500103,MAT-1001,Crude Palm Oil (CPO),1572.4,Pasir Gudang,Chennai,India,Sea,MT Kinabalu Spirit,2025-05,2025-05-19,1533.2,,,True,False,-39.2,-2.49,,False
SHP-700104,CTR-2025104,SO-500104,MAT-1007,Palm Methyl Ester Biodiesel (B100),1130.8,Bintulu,Kandla,India,Sea,MT Perak Navigator,2025-06,,,LC-90104,2025-06-02,False,True,,,,False
SHP-700105,CTR-2025105,SO-500105,MAT-1004,RBD Palm Oil,6664.0,Bintulu,Chennai,India,Sea,MT Kinabalu Spirit,2026-06,,,LC-90105,2026-06-17,False,True,,,,False
SHP-700106,CTR-2025106,SO-500106,MAT-1008,Palm Kernel Expeller (PKE),1136.3,Port Klang,Singapore,Singapore,Sea,MT Sabahan Pride,2026-06,2026-06-10,1123.3,,,True,False,-13.0,-1.14,,False
SHP-700107,CTR-2025107,SO-500107,MAT-1007,Palm Methyl Ester Biodiesel (B100),6596.0,Pasir Gudang,Istanbul,Turkey,Sea,MT Sabahan Pride,2026-01,2025-12-21,6646.6,,,True,False,50.6,0.77,,False
SHP-700108,CTR-2025108,SO-500108,MAT-1007,Palm Methyl Ester Biodiesel (B100),3321.9,Westport,Singapore,Singapore,Sea,MT Melaka Horizon,2025-09,2025-09-19,3315.0,,,True,False,-6.9,-0.21,,False
SHP-700109,CTR-2025109,SO-500109,MAT-1007,Palm Methyl Ester Biodiesel (B100),3681.7,Pasir Gudang,Colombo,Sri Lanka,Sea,MT Sabahan Pride,2025-12,,,,,False,False,,,,False
SHP-700110,CTR-2025110,SO-500110,MAT-1002,RBD Palm Olein,4194.7,Pasir Gudang,Jeddah,Saudi Arabia,Sea,MT Perak Navigator,2026-04,2026-04-10,4080.7,,,True,False,-114.0,-2.72,,False
SHP-700111,CTR-2025111,SO-500111,MAT-1001,Crude Palm Oil (CPO),1391.1,Pasir Gudang,Chittagong,Bangladesh,Sea,MT Pahang Voyager,2026-04,2026-04-03,1389.9,LC-90111,2026-03-03,True,True,-1.2,-0.09,-31.0,False
SHP-700112,CTR-2025112,SO-500112,MAT-1006,Palm Fatty Acid Distillate (PFAD),7716.3,Pasir Gudang,Istanbul,Turkey,Sea,MT Melaka Horizon,2025-05,2025-06-10,7819.9,,,True,False,103.6,1.34,,False
SHP-700113,CTR-2025113,SO-500113,MAT-1005,Palm Kernel Oil (PKO),2177.0,Pasir Gudang,Rotterdam,Netherlands,Sea,MT Kinabalu Spirit,2025-02,,,,,False,False,,,,False
SHP-700114,CTR-2025114,SO-500114,MAT-1002,RBD Palm Olein,7774.1,Bintulu,Jeddah,Saudi Arabia,Sea,MT Pahang Voyager,2026-03,2026-03-26,7926.8,LC-90114,2026-03-03,True,True,152.7,1.96,-23.0,False
SHP-700115,CTR-2025115,SO-500115,MAT-1006,Palm Fatty Acid Distillate (PFAD),1053.5,Pasir Gudang,Jeddah,Saudi Arabia,Sea,MT Selangor Star,2025-06,2025-06-29,1055.0,LC-90115,2025-05-29,True,True,1.5,0.14,-31.0,False
SHP-700116,CTR-2025116,SO-500116,MAT-1007,Palm Methyl Ester Biodiesel (B100),5718.1,Kuantan,Chittagong,Bangladesh,Sea,MT Sabahan Pride,2026-04,2026-05-06,5713.6,,,True,False,-4.5,-0.08,,False
