shipment_id,contract_ref,invoice_amount_usd,price_usd_per_mt,lc_number,lc_available
SHP-700185,CTR-2025185,5660931.78,1066.37,,False
SHP-700186,CTR-2025186,2347235.59,758.96,,False
SHP-700187,CTR-2025187,3251134.08,927.2,,False
SHP-700188,CTR-2025188,4669150.35,953.53,,False
SHP-700189,CTR-2025189,8514349.14,1209.27,,False
SHP-700190,CTR-2025190,7970206.16,1074.34,,False
SHP-700191,CTR-2025191,4567985.79,904.48,,False
SHP-700192,CTR-2025192,6850176.9,920.5,LC-90192,True
SHP-700193,CTR-2025193,9095585.24,1153.34,LC-90193,True
SHP-700194,CTR-2025194,4412246.5,1004.77,LC-90194,True
SHP-700195,CTR-2025195,4257039.49,652.78,,False
SHP-700196,CTR-2025196,5445253.26,1201.91,LC-90196,True
SHP-700197,CTR-2025197,3053972.02,784.76,LC-90197,True
SHP-700198,CTR-2025198,3819783.41,901.36,,False
SHP-700199,CTR-2025199,4996925.18,1029.36,,False
SHP-700200,CTR-2025200,4144724.73,756.82,,False
SHP-700201,CTR-2025201,2531157.74,701.21,LC-90201,True
SHP-700202,CTR-2025202,1103389.94,1099.98,LC-90202,True
SHP-700203,CTR-2025203,1296959.29,671.93,LC-90203,True
SHP-700204,CTR-2025204,5823623.5,921.97,LC-90204,True
SHP-700205,CTR-2025205,3490751.52,743.14,LC-90205,True
SHP-700206,CTR-2025206,2680922.51,812.45,,False
SHP-700207,CTR-2025207,513443.58,743.69,,False
SHP-700208,CTR-2025208,550732.18,783.18,,False
SHP-700209,CTR-2025209,461538.07,712.47,,False
SHP-700210,CTR-2025210,4278225.2,792.91,,False
SHP-700211,CTR-2025211,2517511.97,1083.36,LC-90211,True
SHP-700212,CTR-2025212,4259638.69,772.99,LC-90212,True
SHP-700213,CTR-2025213,884199.35,774.73,,False
SHP-700214,CTR-2025214,1860465.06,999.82,,False
SHP-700215,CTR-2025215,5669930.77,855.09,,False
SHP-700216,CTR-2025216,3995170.85,810.84,,False
SHP-700217,CTR-2025217,4230559.87,911.68,,False
SHP-700218,CTR-2025218,4571053.89,734.07,LC-90218,True
SHP-700219,CTR-2025219,5882349.36,905.13,,False
SHP-700220,CTR-2025220,2452172.2,974.98,LC-90220,True
SHP-700221,CTR-2025221,8389207.68,1240.64,,False
SHP-700222,CTR-2025222,1680536.57,661.03,,False
SHP-700223,CTR-2025223,3928728.88,814.43,,False
SHP-700224,CTR-2025224,5202670.94,773.85,,False
SHP-700225,CTR-2025225,1816669.27,1190.01,,False
SHP-700226,CTR-2025226,5249191.18,1049.02,,False
SHP-700227,CTR-2025227,3203467.1,879.88,,False
SHP-700228,CTR-2025228,1909265.82,1092.82,LC-90228,True
SHP-700229,CTR-2025229,4004864.16,797.21,LC-90229,True
SHP-700230,CTR-2025230,4880829.46,828.27,LC-90230,True
SHP-700231,CTR-2025231,8200095.95,1089.54,,False
SHP-700232,CTR-2025232,2484392.35,1007.05,,False
SHP-700233,CTR-2025233,4256946.1,1008.11,LC-90233,True
SHP-700234,CTR-2025234,1155928.79,1086.91,,False
SHP-700235,CTR-2025235,3000835.81,797.84,,False
SHP-700236,CTR-2025236,4644048.56,813.29,LC-90236,True
SHP-700237,CTR-2025237,5402750.99,732.09,,False
SHP-700238,CTR-2025238,1841551.89,975.14,,False
SHP-700239,CTR-2025239,6845682.28,1045.27,,False
SHP-700240,CTR-2025240,2238809.62,943.65,,False
SHP-700241,CTR-2025241,5106612.26,673.66,,False
SHP-700242,CTR-2025242,1837184.81,990.77,,False
SHP-700243,CTR-2025243,4747369.19,828.41,,False
SHP-700244,CTR-2025244,7085606.46,934.53,LC-90244,True
SHP-700245,CTR-2025245,4515100.18,672.2,,False
SHP-700246,CTR-2025246,977631.53,696.17,,False
SHP-700247,CTR-2025247,4091012.72,689.21,LC-90247,True
SHP-700248,CTR-2025248,2964397.02,1025.53,,False
SHP-700249,CTR-2025249,1493579.01,664.64,,False
SHP-700250,CTR-2025250,6829851.81,967.36,,False
SHP-700251,CTR-2025251,6870103.33,860.43,LC-90251,True
SHP-700252,CTR-2025252,6113289.52,1174.21,,False
SHP-700253,CTR-2025253,3280179.57,902.81,LC-90253,True
SHP-700254,CTR-2025254,2598347.7,822.34,,False
SHP-700255,CTR-2025255,538949.3,660.72,LC-90255,True
SHP-700256,CTR-2025256,4371289.53,780.95,LC-90256,True
SHP-700257,CTR-2025257,4276453.29,1177.47,LC-90257,True
SHP-700258,CTR-2025258,2181710.16,1244.7,LC-90258,True
SHP-700259,CTR-2025259,4843591.38,957.61,,False
SHP-700260,CTR-2025260,1640741.7,761.86,,False
SHP-700261,CTR-2025261,1149937.35,1231.46,LC-90261,True
SHP-700262,CTR-2025262,1601678.55,887.75,,False
SHP-700263,CTR-2025263,1884960.9,1139.5,,False
SHP-700264,CTR-2025264,4553377.25,1005.76,LC-90264,True
SHP-700265,CTR-2025265,1813453.32,727.71,,False
SHP-700266,CTR-2025266,7911355.86,1135.71,,False
SHP-700267,CTR-2025267,1031478.67,895.07,,False
SHP-700268,CTR-2025268,5614778.52,947.53,LC-90268,True
SHP-700269,CTR-2025269,2280397.94,1059.96,LC-90269,True
SHP-700270,CTR-2025270,6519862.27,947.09,LC-90270,True
SHP-700271,CTR-2025271,3285199.57,1056.81,LC-90271,True
SHP-700272,CTR-2025272,6772785.15,1045.07,,False
SHP-700273,CTR-2025273,6697451.07,1152.21,,False
SHP-700274,CTR-2025274,5661937.55,1101.63,LC-90274,True
SHP-700275,CTR-2025275,824065.51,1145.49,,False
SHP-700276,CTR-2025276,4535714.9,746.46,,False
SHP-700277,CTR-2025277,2815391.98,653.83,LC-90277,True
SHP-700278,CTR-2025278,4221682.97,805.88,LC-90278,True
SHP-700279,CTR-2025279,1441261.89,1106.62,,False
SHP-700280,CTR-2025280,3154602.48,1029.57,LC-90280,True
SHP-700281,CTR-2025281,3908740.37,690.7,,False
SHP-700282,CTR-2025282,1004396.43,999.3,,False
SHP-700283,CTR-2025283,988888.85,1172.92,LC-90283,True
SHP-700284,CTR-2025284,1630478.98,1104.96,LC-90284,True
SHP-700285,CTR-2025285,562132.8,844.17,LC-90285,True
SHP-700286,CTR-2025286,3129952.17,814.18,LC-90286,True
SHP-700287,CTR-2025287,1946364.41,1126.89,,False
SHP-700288,CTR-2025288,1183073.57,1058.3,,False
SHP-700289,CTR-2025289,5652117.84,740.63,LC-90289,True
SHP-700290,CTR-2025290,4699504.98,888.56,,False
SHP-700291,CTR-2025291,4235662.2,1186.46,,False
SHP-700292,CTR-2025292,763573.5,1041.0,LC-90292,True
SHP-700293,CTR-2025293,5908985.18,761.32,,False
SHP-700294,CTR-2025294,7267341.65,1156.87,,False
SHP-700295,CTR-2025295,993768.54,669.52,,False
SHP-700296,CTR-2025296,6078503.34,938.91,,False
SHP-700297,CTR-2025297,1527162.13,1061.34,,False
SHP-700298,CTR-2025298,2882875.11,688.53,,False
SHP-700299,CTR-2025299,5420127.17,836.22,LC-90299,True
SHP-700300,CTR-2025300,3230052.85,937.96,,False
SHP-700301,CTR-2025301,6661058.27,1166.07,,False
SHP-700302,CTR-2025302,2925845.25,712.96,LC-90302,True
SHP-700303,CTR-2025303,4330309.11,1020.89,,False
SHP-700304,CTR-2025304,484943.0,845.88,LC-90304,True
SHP-700305,CTR-2025305,522165.35,697.15,LC-90305,True
SHP-700306,CTR-2025306,6410214.85,1130.35,,False
SHP-700307,CTR-2025307,1325217.8,1031.86,,False
SHP-700308,CTR-2025308,5123563.49,681.18,,False
SHP-700309,CTR-2025309,7583983.94,1078.45,LC-90309,True
SHP-700310,CTR-2025310,1306647.2,1186.89,,False
SHP-700311,CTR-2025311,4033110.26,1036.15,LC-90311,True
SHP-700312,CTR-2025312,760422.48,798.26,,False
SHP-700313,CTR-2025313,2649078.43,1235.52,,False
SHP-700314,CTR-2025314,6713134.49,1045.22,,False
SHP-700315,CTR-2025315,4638990.58,787.07,,False
SHP-700316,CTR-2025316,4139146.1,769.73,,False
SHP-700317,CTR-2025317,587284.84,804.61,,False
SHP-700318,CTR-2025318,6523102.36,1095.62,LC-90318,True
SHP-700319,CTR-2025319,5330141.12,674.07,,False
SHP-700320,CTR-2025320,4112284.44,1085.15,,False
SHP-700321,CTR-2025321,6551753.56,903.03,LC-90321,True
SHP-700322,CTR-2025322,2129462.4,1023.78,LC-90322,True
SHP-700323,CTR-2025323,7015561.35,1195.42,,False
SHP-700324,CTR-2025324,5906002.45,758.59,,False
SHP-700325,CTR-2025325,2760181.79,1172.45,LC-90325,True
SHP-700326,CTR-2025326,3700974.98,748.11,,False
SHP-700327,CTR-2025327,2543281.44,1044.04,,False
SHP-700328,CTR-2025328,1825168.22,1231.89,,False
SHP-700329,CTR-2025329,790344.72,751.85,LC-90329,True
SHP-700330,CTR-2025330,2982486.59,799.23,,False
SHP-700331,CTR-2025331,1315599.1,750.57,,False
SHP-700332,CTR-2025332,6313790.44,1048.28,LC-90332,True
SHP-700333,CTR-2025333,5726228.59,1170.96,,False
SHP-700334,CTR-2025334,1726431.18,684.25,,False
SHP-700335,CTR-2025335,575071.98,723.27,LC-90335,True
SHP-700336,CTR-2025336,2905144.24,674.94,LC-90336,True
SHP-700337,CTR-2025337,655725.33,1221.09,,False
SHP-700338,CTR-2025338,3751577.28,959.36,,False
SHP-700339,CTR-2025339,1033632.25,667.98,,False
SHP-700340,CTR-2025340,2122771.43,1054.06,,False
SHP-700341,CTR-2025341,5080148.12,916.25,,False
SHP-700342,CTR-2025342,6565248.79,1152.87,,False
SHP-700343,CTR-2025343,4316378.45,1020.71,,False
SHP-700344,CTR-2025344,879718.1,1208.57,LC-90344,True
SHP-700345,CTR-2025345,4822998.91,886.32,,False
SHP-700346,CTR-2025346,6790348.17,1249.65,,False
SHP-700347,CTR-2025347,7000043.23,894.14,,False
SHP-700348,CTR-2025348,5194924.48,1093.07,,False
SHP-700349,CTR-2025349,3101988.51,1050.56,,False
SHP-700350,CTR-2025350,5908828.86,911.35,,False
SHP-700351,CTR-2025351,2995264.6,653.46,LC-90351,True
SHP-700352,CTR-2025352,5047971.08,883.13,,False
SHP-700353,CTR-2025353,2594516.18,786.36,,False
SHP-700354,CTR-2025354,5281869.09,1050.93,,False
SHP-700355,CTR-2025355,3910931.2,1168.0,,False
SHP-700356,CTR-2025356,591743.42,854.75,LC-90356,True
SHP-700357,CTR-2025357,4568359.48,1014.74,,False
SHP-700358,CTR-2025358,7200280.33,1223.31,LC-90358,True
SHP-700359,CTR-2025359,1288331.08,654.54,,False
SHP-700360,CTR-2025360,2805788.34,1206.22,,False
SHP-700361,CTR-2025361,6464421.05,860.97,,False
SHP-700362,CTR-2025362,3332066.08,804.07,,False
SHP-700363,CTR-2025363,6349848.45,973.5,LC-90363,True
SHP-700364,CTR-2025364,2285471.41,898.13,,False
SHP-700365,CTR-2025365,4255990.42,758.86,LC-90365,True
SHP-700366,CTR-2025366,3822573.91,803.94,LC-90366,True
SHP-700367,CTR-2025367,3127880.53,676.05,LC-90367,True
SHP-700368,CTR-2025368,7843256.83,1180.52,,False
SHP-700369,CTR-2025369,4556981.49,896.62,,False
SHP-700370,CTR-2025370,2495732.48,792.12,LC-90370,True
SHP-700371,CTR-2025371,3863849.34,1050.53,LC-90371,True
SHP-700372,CTR-2025372,4770077.63,921.06,LC-90372,True
SHP-700373,CTR-2025373,5437658.84,780.04,LC-90373,True
SHP-700374,CTR-2025374,701127.41,1035.18,LC-90374,True
SHP-700375,CTR-2025375,3454758.74,1006.69,,False
SHP-700376,CTR-2025376,1625498.2,1067.09,LC-90376,True
SHP-700377,CTR-2025377,7086735.17,1244.75,,False
SHP-700378,CTR-2025378,5914880.47,997.03,,False
SHP-700379,CTR-2025379,1355469.02,1186.51,,False
SHP-700380,CTR-2025380,1898513.7,863.0,,False
SHP-700381,CTR-2025381,3033604.95,690.57,LC-90381,True
SHP-700382,CTR-2025382,7388387.32,1040.53,,False
SHP-700383,CTR-2025383,3152440.78,1051.69,,False
SHP-700384,CTR-2025384,5097365.73,1088.39,,False
SHP-700385,CTR-2025385,5776588.78,1224.58,,False
SHP-700386,CTR-2025386,1949800.5,971.5,,False
SHP-700387,CTR-2025387,4279927.86,1103.7,,False
SHP-700388,CTR-2025388,7799879.83,1206.31,,False
SHP-700389,CTR-2025389,2046464.62,1245.49,LC-90389,True
SHP-700390,CTR-2025390,4513633.88,1024.15,,False
SHP-700391,CTR-2025391,4479310.63,726.63,,False
SHP-700392,CTR-2025392,3906338.52,671.7,,False
SHP-700393,CTR-2025393,2248990.59,702.59,LC-90393,True
SHP-700394,CTR-2025394,3193365.97,918.32,LC-90394,True
SHP-700395,CTR-2025395,5264089.89,1245.29,LC-90395,True
SHP-700396,CTR-2025396,1565523.17,1140.47,LC-90396,True
SHP-700397,CTR-2025397,7356036.49,1124.02,,False
SHP-700398,CTR-2025398,2656277.06,754.11,LC-90398,True
SHP-700399,CTR-2025399,6068844.48,1143.49,,False
SHP-700400,CTR-2025400,6992080.37,942.24,,False
SHP-700401,CTR-2025401,1723524.4,951.54,LC-90401,True
SHP-700402,CTR-2025402,673010.04,665.49,,False
SHP-700403,CTR-2025403,5682088.04,1229.49,,False
SHP-700404,CTR-2025404,3925389.53,913.71,LC-90404,True
SHP-700405,CTR-2025405,4136819.64,779.62,LC-90405,True
SHP-700406,CTR-2025406,1073833.45,1118.46,,False
SHP-700407,CTR-2025407,5451000.21,684.67,,False
SHP-700408,CTR-2025408,1686819.37,735.35,LC-90408,True
SHP-700409,CTR-2025409,3912017.06,687.38,,False
SHP-700410,CTR-2025410,6731149.82,1019.13,,False
SHP-700411,CTR-2025411,4032678.32,905.65,,False
SHP-700412,CTR-2025412,2970006.92,766.77,,False
SHP-700413,CTR-2025413,7311225.11,1090.17,,False
SHP-700414,CTR-2025414,3399618.77,938.81,LC-90414,True
SHP-700415,CTR-2025415,2708567.86,1106.17,LC-90415,True
SHP-700416,CTR-2025416,469600.05,794.72,,False
SHP-700417,CTR-2025417,7255850.33,942.71,,False
SHP-700418,CTR-2025418,4253047.51,922.63,LC-90418,True
SHP-700419,CTR-2025419,1373154.17,844.81,,False
