contract_ref,contract_date,profit_center,counterparty_id,counterparty_name,broker,incoterm,payment_term,status
CTR-2025039,2025-11-26,PC-Trading-SG,CP-08,EuroFat Amsterdam,Broker-B,FOB,TT advance,Cancelled
CTR-2025040,2025-12-10,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,FOB,TT 30 days,Fulfilled
CTR-2025041,2025-03-16,PC-Refining-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,FOB,LC 90 days,Open
CTR-2025042,2025-04-20,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,DAP,LC at sight,Fulfilled
CTR-2025043,2026-06-28,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,DAP,TT advance,Fulfilled
CTR-2025044,2025-09-11,PC-Refining-MY,CP-13,California Biofuels Inc,Broker-G,DAP,TT 30 days,Fulfilled
CTR-2025045,2025-08-29,PC-Refining-MY,CP-06,Shanghai Huifeng Trading,Broker-D,CIF,TT 30 days,Fulfilled
CTR-2025046,2025-08-08,PC-Refining-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,DAP,LC 90 days,Open
CTR-2025047,2026-01-25,PC-Trading-MY,CP-01,Ganga Agro Traders,Broker-A,DAP,TT advance,Fulfilled
CTR-2025048,2026-03-23,PC-Trading-MY,CP-01,Ganga Agro Traders,Broker-A,DAP,TT 30 days,Fulfilled
CTR-2025049,2025-01-28,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,DAP,TT 30 days,Fulfilled
CTR-2025050,2026-04-11,PC-Refining-MY,CP-06,Shanghai Huifeng Trading,Broker-D,DAP,TT 60 days,Cancelled
CTR-2025051,2025-02-23,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,CIF,LC at sight,Fulfilled
CTR-2025052,2025-05-10,PC-Refining-MY,CP-11,Chittagong Oil Refinery,Broker-C,FOB,LC 90 days,Open
CTR-2025053,2025-06-17,PC-Trading-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,TT advance,Cancelled
CTR-2025054,2025-09-06,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,CIF,TT advance,Fulfilled
CTR-2025055,2025-03-12,PC-Trading-SG,CP-01,Ganga Agro Traders,Broker-A,DAP,LC at sight,Fulfilled
CTR-2025056,2026-06-19,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,DAP,LC 90 days,Fulfilled
CTR-2025057,2026-04-07,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,DAP,TT 60 days,Fulfilled
CTR-2025058,2025-08-06,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CFR,TT advance,Open
CTR-2025059,2025-09-05,PC-Trading-MY,CP-08,EuroFat Amsterdam,Broker-B,DAP,LC 90 days,Fulfilled
CTR-2025060,2025-09-07,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025061,2025-11-10,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,FOB,TT 60 days,Fulfilled
CTR-2025062,2025-10-11,PC-Trading-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,TT 30 days,Cancelled
CTR-2025063,2025-05-10,PC-Refining-MY,CP-01,Ganga Agro Traders,Broker-A,CFR,TT 30 days,Fulfilled
CTR-2025064,2026-04-26,PC-Trading-MY,CP-08,EuroFat Amsterdam,Broker-B,CFR,LC 90 days,Cancelled
CTR-2025065,2025-02-24,PC-Refining-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,CIF,TT 30 days,Fulfilled
CTR-2025066,2026-04-07,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,DAP,TT 60 days,Open
CTR-2025067,2025-06-10,PC-Trading-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,FOB,LC at sight,Fulfilled
CTR-2025068,2025-10-23,PC-Trading-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT 60 days,Fulfilled
CTR-2025069,2025-09-30,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,TT advance,Fulfilled
CTR-2025070,2026-02-17,PC-Trading-SG,CP-09,Lagos Vegetable Oil Ltd,Broker-E,DAP,LC at sight,Open
CTR-2025071,2025-04-04,PC-Refining-MY,CP-11,Chittagong Oil Refinery,Broker-C,CFR,TT advance,Fulfilled
CTR-2025072,2025-10-12,PC-Trading-SG,CP-10,Istanbul Bitkisel Yag,Broker-E,DAP,LC at sight,Open
CTR-2025073,2025-06-14,PC-Trading-SG,CP-07,Guangzhou Oleochem Ltd,Broker-D,CFR,LC 90 days,Fulfilled
CTR-2025074,2025-11-28,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CIF,TT advance,Cancelled
CTR-2025075,2026-01-06,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,FOB,TT 60 days,Fulfilled
CTR-2025076,2025-05-05,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,FOB,TT 60 days,Open
CTR-2025077,2025-08-19,PC-Trading-SG,CP-08,EuroFat Amsterdam,Broker-B,FOB,LC 90 days,Fulfilled
CTR-2025078,2026-04-13,PC-Trading-SG,CP-07,Guangzhou Oleochem Ltd,Broker-D,CIF,TT 60 days,Open
CTR-2025079,2025-10-17,PC-Trading-SG,CP-14,Colombo Fats Trading,Broker-C,DAP,TT 30 days,Cancelled
CTR-2025080,2026-01-22,PC-Trading-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,FOB,TT advance,Fulfilled
CTR-2025081,2026-04-30,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,DAP,LC at sight,Cancelled
CTR-2025082,2026-04-13,PC-Refining-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,LC at sight,Fulfilled
CTR-2025083,2025-03-24,PC-Refining-MY,CP-14,Colombo Fats Trading,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025084,2025-08-21,PC-Trading-SG,CP-07,Guangzhou Oleochem Ltd,Broker-D,DAP,TT 30 days,Open
CTR-2025085,2025-10-28,PC-Trading-MY,CP-06,Shanghai Huifeng Trading,Broker-D,FOB,TT advance,Open
CTR-2025086,2026-01-27,PC-Trading-SG,CP-08,EuroFat Amsterdam,Broker-B,FOB,TT 30 days,Open
CTR-2025087,2026-04-22,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,CIF,LC 90 days,Fulfilled
CTR-2025088,2025-07-23,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,DAP,TT advance,Fulfilled
CTR-2025089,2025-10-09,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,TT advance,Fulfilled
CTR-2025090,2025-08-13,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,LC at sight,Fulfilled
CTR-2025091,2025-05-15,PC-Trading-SG,CP-15,Jeddah Oils & Fats Co,Broker-E,DAP,TT 30 days,Cancelled
CTR-2025092,2026-05-29,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,DAP,TT 60 days,Fulfilled
CTR-2025093,2025-08-20,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,CFR,LC at sight,Fulfilled
CTR-2025094,2026-01-13,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CFR,LC at sight,Fulfilled
CTR-2025095,2025-08-15,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,CFR,LC 90 days,Open
CTR-2025096,2025-04-10,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,DAP,LC 90 days,Open
CTR-2025097,2026-05-17,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,CFR,TT 30 days,Open
CTR-2025098,2026-01-12,PC-Refining-MY,CP-01,Ganga Agro Traders,Broker-A,FOB,LC at sight,Cancelled
CTR-2025099,2025-01-22,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,FOB,LC at sight,Fulfilled
CTR-2025100,2025-01-03,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,CFR,TT 30 days,Fulfilled
CTR-2025101,2025-09-01,PC-Trading-SG,CP-01,Ganga Agro Traders,Broker-A,CIF,TT 30 days,Fulfilled
CTR-2025102,2026-01-06,PC-Trading-MY,CP-08,EuroFat Amsterdam,Broker-B,CIF,TT advance,Fulfilled
CTR-2025103,2026-02-16,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,DAP,LC at sight,Fulfilled
CTR-2025104,2025-11-29,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,DAP,TT advance,Cancelled
CTR-2025105,2025-08-09,PC-Refining-MY,CP-08,EuroFat Amsterdam,Broker-B,DAP,TT 60 days,Open
CTR-2025106,2025-11-17,PC-Trading-MY,CP-06,Shanghai Huifeng Trading,Broker-D,CFR,TT 30 days,Open
CTR-2025107,2026-03-19,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,CIF,TT advance,Fulfilled
CTR-2025108,2026-03-10,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,CFR,LC at sight,Fulfilled
CTR-2025109,2025-04-21,PC-Refining-MY,CP-14,Colombo Fats Trading,Broker-C,CIF,TT 60 days,Cancelled
CTR-2025110,2025-01-27,PC-Trading-MY,CP-01,Ganga Agro Traders,Broker-A,CFR,TT 60 days,Cancelled
CTR-2025111,2026-02-15,PC-Trading-SG,CP-03,Rotterdam Fats & Oils BV,Broker-B,CIF,LC at sight,Fulfilled
CTR-2025112,2025-06-11,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,CIF,LC at sight,Fulfilled
CTR-2025113,2026-03-11,PC-Trading-SG,CP-10,Istanbul Bitkisel Yag,Broker-E,CFR,TT 30 days,Open
CTR-2025114,2025-10-18,PC-Trading-MY,CP-09,Lagos Vegetable Oil Ltd,Broker-E,CIF,TT 30 days,Fulfilled
CTR-2025115,2025-08-05,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CFR,LC at sight,Fulfilled
CTR-2025116,2026-06-30,PC-Trading-SG,CP-09,Lagos Vegetable Oil Ltd,Broker-E,CFR,LC at sight,Open
CTR-2025117,2025-11-17,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CFR,LC at sight,Fulfilled
CTR-2025118,2026-01-06,PC-Trading-SG,CP-07,Guangzhou Oleochem Ltd,Broker-D,FOB,LC 90 days,Fulfilled
CTR-2025119,2025-08-15,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,CIF,TT advance,Fulfilled
CTR-2025120,2025-08-30,PC-Refining-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,FOB,TT advance,Fulfilled
CTR-2025121,2026-04-21,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,CFR,TT 60 days,Fulfilled
CTR-2025122,2025-11-07,PC-Trading-SG,CP-10,Istanbul Bitkisel Yag,Broker-E,CFR,LC 90 days,Open
CTR-2025123,2025-04-03,PC-Refining-MY,CP-08,EuroFat Amsterdam,Broker-B,DAP,TT advance,Fulfilled
CTR-2025124,2025-03-05,PC-Refining-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CIF,TT advance,Fulfilled
CTR-2025125,2026-03-26,PC-Trading-SG,CP-06,Shanghai Huifeng Trading,Broker-D,DAP,TT 60 days,Open
CTR-2025126,2026-01-31,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,FOB,TT 60 days,Fulfilled
CTR-2025127,2025-05-13,PC-Refining-MY,CP-05,Karachi Edible Oil Co.,Broker-C,CFR,TT 30 days,Fulfilled
CTR-2025128,2025-01-19,PC-Trading-MY,CP-05,Karachi Edible Oil Co.,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025129,2025-04-14,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,FOB,TT advance,Cancelled
CTR-2025130,2025-06-19,PC-Refining-MY,CP-01,Ganga Agro Traders,Broker-A,DAP,TT advance,Fulfilled
CTR-2025131,2025-11-13,PC-Trading-SG,CP-15,Jeddah Oils & Fats Co,Broker-E,CFR,TT advance,Cancelled
CTR-2025132,2026-06-25,PC-Trading-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,FOB,TT 60 days,Cancelled
CTR-2025133,2025-05-08,PC-Trading-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CFR,LC 90 days,Fulfilled
CTR-2025134,2025-12-24,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,CFR,TT 30 days,Open
CTR-2025135,2025-11-23,PC-Trading-SG,CP-14,Colombo Fats Trading,Broker-C,CFR,TT 30 days,Fulfilled
CTR-2025136,2026-04-26,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,TT 60 days,Cancelled
CTR-2025137,2026-06-25,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,TT 60 days,Cancelled
CTR-2025138,2026-04-14,PC-Trading-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,CIF,TT advance,Cancelled
CTR-2025139,2025-12-28,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,TT advance,Cancelled
CTR-2025140,2026-06-04,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,CIF,LC 90 days,Fulfilled
CTR-2025141,2025-09-04,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,CFR,TT 30 days,Fulfilled
CTR-2025142,2026-04-21,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,CIF,LC 90 days,Open
CTR-2025143,2025-11-20,PC-Trading-SG,CP-09,Lagos Vegetable Oil Ltd,Broker-E,DAP,TT 60 days,Open
CTR-2025144,2025-12-06,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,DAP,LC 90 days,Fulfilled
CTR-2025145,2026-01-12,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,DAP,LC at sight,Open
CTR-2025146,2025-03-23,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,DAP,TT advance,Fulfilled
CTR-2025147,2025-02-13,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,CIF,LC at sight,Fulfilled
CTR-2025148,2025-02-01,PC-Trading-SG,CP-14,Colombo Fats Trading,Broker-C,DAP,LC at sight,Fulfilled
CTR-2025149,2025-02-03,PC-Trading-SG,CP-11,Chittagong Oil Refinery,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025150,2025-10-13,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,LC 90 days,Fulfilled
CTR-2025151,2026-04-02,PC-Trading-SG,CP-10,Istanbul Bitkisel Yag,Broker-E,DAP,TT 30 days,Fulfilled
CTR-2025152,2026-04-01,PC-Refining-MY,CP-13,California Biofuels Inc,Broker-G,CFR,LC at sight,Fulfilled
CTR-2025153,2026-01-06,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,LC 90 days,Fulfilled
CTR-2025154,2025-05-13,PC-Trading-MY,CP-02,Meridian Oleo Pvt Ltd,Broker-A,DAP,TT advance,Fulfilled
CTR-2025155,2025-03-17,PC-Trading-SG,CP-08,EuroFat Amsterdam,Broker-B,CFR,TT 30 days,Cancelled
CTR-2025156,2025-02-26,PC-Refining-MY,CP-09,Lagos Vegetable Oil Ltd,Broker-E,FOB,TT 30 days,Fulfilled
CTR-2025157,2025-03-22,PC-Refining-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,CFR,TT 30 days,Fulfilled
CTR-2025158,2025-06-07,PC-Trading-MY,CP-11,Chittagong Oil Refinery,Broker-C,CFR,TT advance,Cancelled
CTR-2025159,2025-09-29,PC-Trading-MY,CP-13,California Biofuels Inc,Broker-G,CIF,LC 90 days,Fulfilled
CTR-2025160,2025-11-01,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,LC 90 days,Cancelled
CTR-2025161,2025-05-28,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025162,2025-09-05,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,TT 30 days,Cancelled
CTR-2025163,2026-03-05,PC-Trading-SG,CP-14,Colombo Fats Trading,Broker-C,CFR,TT advance,Cancelled
CTR-2025164,2026-04-24,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,CIF,LC at sight,Fulfilled
CTR-2025165,2025-02-19,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,DAP,TT 60 days,Fulfilled
CTR-2025166,2025-09-28,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,CIF,LC 90 days,Open
CTR-2025167,2026-01-31,PC-Trading-SG,CP-13,California Biofuels Inc,Broker-G,CIF,TT 30 days,Cancelled
CTR-2025168,2026-01-10,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,DAP,TT advance,Fulfilled
CTR-2025169,2026-05-01,PC-Refining-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,CFR,TT advance,Fulfilled
CTR-2025170,2025-12-11,PC-Refining-MY,CP-12,PT Nusantara Lipid,Broker-F,CIF,TT 60 days,Fulfilled
CTR-2025171,2025-01-28,PC-Refining-MY,CP-05,Karachi Edible Oil Co.,Broker-C,CIF,TT advance,Cancelled
CTR-2025172,2026-01-25,PC-Trading-SG,CP-14,Colombo Fats Trading,Broker-C,CIF,TT advance,Fulfilled
CTR-2025173,2026-03-05,PC-Refining-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,DAP,LC at sight,Fulfilled
CTR-2025174,2026-06-23,PC-Trading-MY,CP-06,Shanghai Huifeng Trading,Broker-D,CFR,TT advance,Fulfilled
CTR-2025175,2025-10-13,PC-Refining-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,FOB,LC 90 days,Fulfilled
CTR-2025176,2025-10-22,PC-Trading-SG,CP-10,Istanbul Bitkisel Yag,Broker-E,DAP,LC 90 days,Open
CTR-2025177,2025-12-21,PC-Refining-MY,CP-11,Chittagong Oil Refinery,Broker-C,DAP,TT 30 days,Fulfilled
CTR-2025178,2025-05-21,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,TT 30 days,Open
CTR-2025179,2026-02-28,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,FOB,LC at sight,Fulfilled
CTR-2025180,2025-07-24,PC-Trading-MY,CP-06,Shanghai Huifeng Trading,Broker-D,CIF,LC at sight,Open
CTR-2025181,2026-02-11,PC-Trading-SG,CP-03,Rotterdam Fats & Oils BV,Broker-B,CFR,LC at sight,Fulfilled
CTR-2025182,2026-06-21,PC-Refining-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,CFR,TT 30 days,Fulfilled
CTR-2025183,2025-09-21,PC-Trading-SG,CP-01,Ganga Agro Traders,Broker-A,CFR,TT advance,Cancelled
CTR-2025184,2025-12-02,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,FOB,TT 30 days,Fulfilled
CTR-2025185,2026-01-28,PC-Refining-MY,CP-08,EuroFat Amsterdam,Broker-B,CFR,TT advance,Fulfilled
CTR-2025186,2025-03-05,PC-Trading-SG,CP-08,EuroFat Amsterdam,Broker-B,DAP,TT advance,Cancelled
CTR-2025187,2025-08-15,PC-Trading-SG,CP-03,Rotterdam Fats & Oils BV,Broker-B,DAP,TT advance,Cancelled
CTR-2025188,2025-08-12,PC-Refining-MY,CP-11,Chittagong Oil Refinery,Broker-C,CIF,TT advance,Open
CTR-2025189,2025-03-05,PC-Refining-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,TT 60 days,Fulfilled
CTR-2025190,2026-05-16,PC-Trading-MY,CP-15,Jeddah Oils & Fats Co,Broker-E,CIF,LC 90 days,Cancelled
CTR-2025191,2026-04-19,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,CFR,LC at sight,Open
CTR-2025192,2025-03-03,PC-Trading-SG,CP-15,Jeddah Oils & Fats Co,Broker-E,CFR,LC 90 days,Fulfilled
CTR-2025193,2026-01-22,PC-Trading-SG,CP-02,Meridian Oleo Pvt Ltd,Broker-A,FOB,TT 60 days,Cancelled
CTR-2025194,2025-05-11,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,CFR,LC 90 days,Fulfilled
CTR-2025195,2026-04-17,PC-Trading-MY,CP-03,Rotterdam Fats & Oils BV,Broker-B,CIF,LC 90 days,Cancelled
CTR-2025196,2025-02-04,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,LC at sight,Open
CTR-2025197,2025-05-24,PC-Trading-MY,CP-04,Nile Delta Vegetable Oils,Broker-C,CFR,TT advance,Cancelled
CTR-2025198,2025-08-15,PC-Refining-MY,CP-05,Karachi Edible Oil Co.,Broker-C,DAP,TT advance,Fulfilled
CTR-2025199,2026-06-22,PC-Trading-SG,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT 60 days,Fulfilled
CTR-2025200,2025-08-19,PC-Refining-MY,CP-14,Colombo Fats Trading,Broker-C,DAP,LC at sight,Fulfilled
CTR-2025201,2026-02-02,PC-Trading-MY,CP-05,Karachi Edible Oil Co.,Broker-C,CIF,LC 90 days,Fulfilled
CTR-2025202,2026-01-22,PC-Trading-MY,CP-14,Colombo Fats Trading,Broker-C,FOB,LC 90 days,Fulfilled
CTR-2025203,2025-05-01,PC-Trading-SG,CP-15,Jeddah Oils & Fats Co,Broker-E,FOB,LC 90 days,Cancelled
CTR-2025204,2026-01-03,PC-Trading-SG,CP-05,Karachi Edible Oil Co.,Broker-C,DAP,LC 90 days,Fulfilled
CTR-2025205,2026-02-28,PC-Trading-MY,CP-10,Istanbul Bitkisel Yag,Broker-E,FOB,LC at sight,Fulfilled
CTR-2025206,2025-12-04,PC-Trading-MY,CP-07,Guangzhou Oleochem Ltd,Broker-D,CFR,TT 60 days,Fulfilled
CTR-2025207,2025-06-23,PC-Refining-MY,CP-12,PT Nusantara Lipid,Broker-F,FOB,TT advance,Open
CTR-2025208,2025-01-07,PC-Trading-SG,CP-03,Rotterdam Fats & Oils BV,Broker-B,FOB,LC at sight,Open
CTR-2025209,2026-05-10,PC-Trading-MY,CP-01,Ganga Agro Traders,Broker-A,DAP,LC at sight,Cancelled
