contract_ref,product,counterparty_id,open_position_usd,mark_to_market_usd,var_usd,limit_usd,limit_utilisation_pct,as_of_date
CTR-2025120,RBD Palm Stearin,CP-03,1703646.85,-6877.55,10103.52,11582721.0,14.7,2026-06-30
CTR-2025121,Crude Palm Oil (CPO),CP-08,607404.63,5132.8,9200.7,13966967.0,4.3,2026-06-30
CTR-2025123,RBD Palm Olein,CP-07,3535173.46,267237.27,431430.08,8305234.0,42.6,2026-06-30
CTR-2025133,Palm Fatty Acid Distillate (PFAD),CP-05,6022475.54,-15901.18,24540.6,9984421.0,60.3,2026-06-30
CTR-2025139,Palm Fatty Acid Distillate (PFAD),CP-15,5190399.77,280258.77,390079.84,2973646.0,140.0,2026-06-30
CTR-2025145,Crude Palm Oil (CPO),CP-07,4718670.58,202900.67,253536.0,4534458.0,104.1,2026-06-30
CTR-2025152,RBD Palm Stearin,CP-12,3220279.67,-238836.01,296680.94,9498503.0,33.9,2026-06-30
CTR-2025153,Palm Methyl Ester Biodiesel (B100),CP-06,2747557.17,-199955.62,309995.18,12844133.0,21.4,2026-06-30
CTR-2025164,Crude Palm Oil (CPO),CP-14,2215632.84,-27752.98,34189.95,12971915.0,17.1,2026-06-30
CTR-2025165,Palm Kernel Oil (PKO),CP-11,2293122.06,26015.76,38137.58,7838021.0,29.3,2026-06-30
CTR-2025184,RBD Palm Stearin,CP-02,4366586.68,-93061.87,119081.57,6101931.0,71.6,2026-06-30
CTR-2025186,RBD Palm Oil,CP-13,3340316.57,251231.6,475344.48,11965747.0,27.9,2026-06-30
CTR-2025187,Palm Methyl Ester Biodiesel (B100),CP-15,5328680.34,-183131.14,312168.33,9810298.0,54.3,2026-06-30
CTR-2025190,RBD Palm Oil,CP-03,1087476.81,44852.17,63938.32,7923444.0,13.7,2026-06-30
CTR-2025199,RBD Palm Stearin,CP-13,5616842.22,-398818.9,633526.79,6134515.0,91.6,2026-06-30
CTR-2025201,Palm Methyl Ester Biodiesel (B100),CP-09,3554126.28,26389.86,36940.4,13866410.0,25.6,2026-06-30
CTR-2025215,RBD Palm Stearin,CP-12,3133449.22,29689.12,47852.74,6462581.0,48.5,2026-06-30
CTR-2025227,Palm Methyl Ester Biodiesel (B100),CP-06,1096909.77,81379.33,122198.3,3294536.0,33.3,2026-06-30
CTR-2025228,RBD Palm Olein,CP-03,1092395.42,32005.31,62284.04,9841770.0,11.1,2026-06-30
CTR-2025241,Palm Kernel Expeller (PKE),CP-02,1179223.78,15418.87,27955.61,9483648.0,12.4,2026-06-30
CTR-2025244,Palm Kernel Expeller (PKE),CP-10,5039977.07,119897.39,230130.95,7283415.0,69.2,2026-06-30
CTR-2025252,Palm Methyl Ester Biodiesel (B100),CP-02,940143.84,-28626.75,38973.49,10105569.0,9.3,2026-06-30
CTR-2025259,Palm Kernel Oil (PKO),CP-06,1805089.22,50946.37,73402.16,13814744.0,13.1,2026-06-30
CTR-2025272,Palm Kernel Oil (PKO),CP-02,6681135.5,-27624.68,38139.51,4392582.0,140.0,2026-06-30
CTR-2025289,RBD Palm Stearin,CP-01,3554225.13,-98852.81,155677.91,10016086.0,35.5,2026-06-30
CTR-2025293,RBD Palm Stearin,CP-01,2490940.79,-115939.4,151217.73,3923458.0,63.5,2026-06-30
CTR-2025296,Crude Palm Oil (CPO),CP-15,2900553.45,-34571.97,57124.4,4645953.0,62.4,2026-06-30
CTR-2025299,Palm Kernel Expeller (PKE),CP-01,1228943.98,-10652.38,19742.31,2273119.0,54.1,2026-06-30
CTR-2025303,Palm Methyl Ester Biodiesel (B100),CP-05,2716033.6,16671.28,32185.3,13508105.0,20.1,2026-06-30
CTR-2025304,Palm Fatty Acid Distillate (PFAD),CP-15,4601278.9,-269674.95,525411.91,7043646.0,65.3,2026-06-30
CTR-2025307,Palm Methyl Ester Biodiesel (B100),CP-06,3173151.66,89669.32,133672.13,11768503.0,27.0,2026-06-30
CTR-2025308,Crude Palm Oil (CPO),CP-06,3078768.78,-82672.32,145556.75,14196355.0,21.7,2026-06-30
CTR-2025309,Palm Fatty Acid Distillate (PFAD),CP-10,9245523.14,-436680.99,802793.65,11949112.0,77.4,2026-06-30
CTR-2025311,RBD Palm Stearin,CP-01,355210.19,-6409.52,9141.34,11601099.0,3.1,2026-06-30
CTR-2025315,Crude Palm Oil (CPO),CP-14,6377516.45,145690.45,258475.39,5958376.0,107.0,2026-06-30
CTR-2025317,Crude Palm Oil (CPO),CP-07,3706033.82,178980.78,276995.09,14696029.0,25.2,2026-06-30
CTR-2025323,RBD Palm Oil,CP-08,5215056.9,373553.42,513642.44,13303938.0,39.2,2026-06-30
CTR-2025324,Palm Methyl Ester Biodiesel (B100),CP-03,978591.8,-16635.26,28056.52,6240867.0,15.7,2026-06-30
CTR-2025325,Crude Palm Oil (CPO),CP-15,1839041.04,-79937.6,99663.51,7779456.0,23.6,2026-06-30
CTR-2025330,RBD Palm Olein,CP-01,2449384.03,-130103.42,193052.38,5899082.0,41.5,2026-06-30
CTR-2025331,Palm Kernel Oil (PKO),CP-11,936262.75,12479.6,23804.52,7199779.0,13.0,2026-06-30
CTR-2025335,Palm Kernel Oil (PKO),CP-07,5762167.81,151880.79,233208.05,3972658.0,140.0,2026-06-30
CTR-2025338,Palm Fatty Acid Distillate (PFAD),CP-11,6107881.08,4531.84,5464.87,11114269.0,55.0,2026-06-30
CTR-2025343,RBD Palm Oil,CP-04,6200953.93,-457976.78,684492.13,10992361.0,56.4,2026-06-30
CTR-2025344,Palm Kernel Oil (PKO),CP-13,4183452.9,1302.16,2510.49,14727414.0,28.4,2026-06-30
CTR-2025346,Palm Kernel Oil (PKO),CP-10,1882474.03,89697.53,169662.25,11324404.0,16.6,2026-06-30
CTR-2025350,Crude Palm Oil (CPO),CP-02,5848776.93,-106634.03,210427.85,7939545.0,73.7,2026-06-30
CTR-2025351,Crude Palm Oil (CPO),CP-01,3126128.68,181545.36,287649.17,11063161.0,28.3,2026-06-30
CTR-2025354,Palm Fatty Acid Distillate (PFAD),CP-10,6137624.37,-81346.33,154736.95,2893801.0,140.0,2026-06-30
CTR-2025357,Palm Kernel Expeller (PKE),CP-14,3255242.95,30046.51,37368.49,4651930.0,70.0,2026-06-30
CTR-2025376,Palm Kernel Oil (PKO),CP-08,5962694.17,-199509.98,314333.06,14633989.0,40.7,2026-06-30
CTR-2025382,RBD Palm Olein,CP-12,2334096.1,-114771.65,149576.96,13152151.0,17.7,2026-06-30
CTR-2025384,Palm Fatty Acid Distillate (PFAD),CP-01,2965383.97,-13462.2,18604.56,5872172.0,50.5,2026-06-30
CTR-2025388,Palm Methyl Ester Biodiesel (B100),CP-15,2997199.77,210966.6,311053.66,4160405.0,72.0,2026-06-30
CTR-2025389,Crude Palm Oil (CPO),CP-14,498612.02,-25595.64,48962.21,14845613.0,3.4,2026-06-30
CTR-2025391,Palm Fatty Acid Distillate (PFAD),CP-10,6808868.0,526964.53,653509.94,7984620.0,85.3,2026-06-30
CTR-2025397,Palm Kernel Expeller (PKE),CP-06,4586579.62,-160108.32,215736.53,3257029.0,140.0,2026-06-30
CTR-2025401,Palm Kernel Oil (PKO),CP-04,519454.19,22813.23,29829.36,2511704.0,20.7,2026-06-30
CTR-2025409,Palm Kernel Expeller (PKE),CP-13,1788755.04,-20505.77,25051.6,8080368.0,22.1,2026-06-30
CTR-2025416,Crude Palm Oil (CPO),CP-04,3110188.95,130324.33,249524.64,12185520.0,25.5,2026-06-30
