shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct,k2_flag_bool,k2_chit_flag_bool,customs_release_flag_bool,customs_official_receipt_flag_bool,certificate_of_origin_flag_bool,bill_of_lading_flag_bool,shipment_tender_flag_bool,loi_flag_bool
SHP-700035,CTR-2025035,SO-500035,Sea,SG6,In Progress,Open,N,Y,Y,Y,N,Y,Y,Y,Y,80.8,False,True,True,True,False,True,True,True
SHP-700036,CTR-2025036,SO-500036,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,95.9,False,True,True,True,True,True,True,False
SHP-700037,CTR-2025037,SO-500037,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,Y,Y,93.4,True,True,True,False,True,True,True,True
SHP-700038,CTR-2025038,SO-500038,Sea,SG6,In Progress,Delivered,N,Y,Y,N,Y,Y,Y,N,Y,87.1,False,True,True,False,True,True,True,False
SHP-700039,CTR-2025039,SO-500039,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,73.6,True,True,True,True,True,True,False,False
SHP-700040,CTR-2025040,SO-500040,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,80.9,True,True,True,True,True,True,True,False
SHP-700041,CTR-2025041,SO-500041,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,Y,Y,89.3,True,False,True,True,False,True,True,True
SHP-700042,CTR-2025042,SO-500042,Sea,SG9,In Progress,Open,Y,Y,N,Y,Y,Y,Y,Y,Y,87.4,True,True,False,True,True,True,True,True
SHP-700043,CTR-2025043,SO-500043,Sea,SG8,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,N,Y,79.4,True,False,True,False,True,True,True,False
SHP-700044,CTR-2025044,SO-500044,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,77.0,True,True,True,True,True,False,True,True
SHP-700045,CTR-2025045,SO-500045,Sea,SG7,In Progress,Delivered,Y,Y,N,N,Y,Y,Y,Y,Y,83.8,True,True,False,False,True,True,True,True
SHP-700046,CTR-2025046,SO-500046,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,Y,Y,97.8,True,True,True,False,False,True,True,True
SHP-700047,CTR-2025047,SO-500047,Sea,SG7,In Progress,Cancelled,N,N,Y,Y,Y,Y,Y,Y,Y,79.3,False,False,True,True,True,True,True,True
SHP-700048,CTR-2025048,SO-500048,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,N,N,Y,96.5,True,True,False,True,True,True,False,False
SHP-700049,CTR-2025049,SO-500049,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,Y,N,Y,N,Y,98.0,False,True,True,True,True,False,True,False
SHP-700050,CTR-2025050,SO-500050,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,78.9,True,True,True,True,False,True,True,True
SHP-700051,CTR-2025051,SO-500051,Sea,SG7,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,Y,Y,75.1,True,False,True,True,True,True,True,True
SHP-700052,CTR-2025052,SO-500052,Sea,SG4,In Progress,Delivered,N,Y,Y,Y,N,N,Y,N,Y,95.2,False,True,True,True,False,False,True,False
SHP-700053,CTR-2025053,SO-500053,Sea,SG8,In Progress,Cancelled,Y,N,Y,N,Y,Y,Y,N,Y,76.5,True,False,True,False,True,True,True,False
SHP-700054,CTR-2025054,SO-500054,Sea,SG7,In Progress,Cancelled,Y,Y,Y,Y,Y,N,Y,Y,Y,73.7,True,True,True,True,True,False,True,True
SHP-700055,CTR-2025055,SO-500055,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,76.4,True,True,False,True,True,True,True,False
SHP-700056,CTR-2025056,SO-500056,Land,SG10,Complete,Delivered,Y,Y,Y,Y,N/A,Y,Y,Y,Y,95.5,True,True,True,True,False,True,True,True
SHP-700057,CTR-2025057,SO-500057,Sea,SG7,In Progress,Cancelled,Y,Y,Y,N,Y,Y,Y,N,Y,96.5,True,True,True,False,True,True,True,False
SHP-700058,CTR-2025058,SO-500058,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,Y,Y,N,Y,98.0,True,True,True,True,False,True,True,False
SHP-700059,CTR-2025059,SO-500059,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,82.7,True,True,True,True,True,True,True,True
SHP-700060,CTR-2025060,SO-500060,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,96.5,True,True,True,True,False,True,True,False
SHP-700061,CTR-2025061,SO-500061,Sea,SG7,In Progress,Cancelled,Y,Y,Y,N,N,Y,Y,Y,Y,76.1,True,True,True,False,False,True,True,True
SHP-700062,CTR-2025062,SO-500062,Sea,SG6,In Progress,Open,Y,Y,Y,Y,N,Y,Y,N,Y,83.3,True,True,True,True,False,True,True,False
SHP-700063,CTR-2025063,SO-500063,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,72.3,True,True,True,True,True,True,True,False
SHP-700064,CTR-2025064,SO-500064,Land,SG10,Complete,Cancelled,Y,Y,Y,Y,N/A,Y,Y,N,Y,77.1,True,True,True,True,False,True,True,False
SHP-700065,CTR-2025065,SO-500065,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,84.4,True,True,True,True,True,True,True,False
SHP-700066,CTR-2025066,SO-500066,Sea,SG6,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,Y,Y,74.7,True,True,True,False,True,True,True,True
SHP-700067,CTR-2025067,SO-500067,Sea,SG6,In Progress,Cancelled,Y,N,Y,Y,Y,N,Y,Y,Y,81.5,True,False,True,True,True,False,True,True
SHP-700068,CTR-2025068,SO-500068,Sea,SG9,In Progress,Open,Y,Y,Y,N,Y,Y,Y,Y,Y,90.5,True,True,True,False,True,True,True,True
SHP-700069,CTR-2025069,SO-500069,Sea,SG6,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,N,Y,90.7,False,False,True,True,True,True,True,False
SHP-700070,CTR-2025070,SO-500070,Sea,SG6,In Progress,Cancelled,Y,Y,N,Y,N,Y,Y,Y,Y,95.5,True,True,False,True,False,True,True,True
SHP-700071,CTR-2025071,SO-500071,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,75.0,True,True,True,True,True,True,True,True
SHP-700072,CTR-2025072,SO-500072,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,83.4,True,True,True,True,True,True,True,True
SHP-700073,CTR-2025073,SO-500073,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,92.4,False,True,True,True,True,True,True,False
SHP-700074,CTR-2025074,SO-500074,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,Y,Y,95.6,True,False,True,True,True,True,True,True
SHP-700075,CTR-2025075,SO-500075,Sea,SG5,In Progress,Delivered,N,Y,N,Y,Y,N,Y,N,Y,80.1,False,True,False,True,True,False,True,False
SHP-700076,CTR-2025076,SO-500076,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,Y,Y,90.0,True,True,True,False,True,True,True,True
SHP-700077,CTR-2025077,SO-500077,Sea,SG8,In Progress,Delivered,Y,Y,N,Y,N,Y,N,Y,Y,87.7,True,True,False,True,False,True,False,True
SHP-700078,CTR-2025078,SO-500078,Sea,SG9,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,74.5,True,True,False,True,True,True,True,False
SHP-700079,CTR-2025079,SO-500079,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,80.6,True,True,True,True,True,True,True,False
SHP-700080,CTR-2025080,SO-500080,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,88.0,True,True,True,True,True,True,True,True
SHP-700081,CTR-2025081,SO-500081,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,97.7,True,True,False,True,True,True,True,False
SHP-700082,CTR-2025082,SO-500082,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,84.8,True,True,True,False,True,True,True,False
SHP-700083,CTR-2025083,SO-500083,Sea,SG6,In Progress,Delivered,N,N,Y,Y,N,Y,Y,N,Y,88.5,False,False,True,True,False,True,True,False
SHP-700084,CTR-2025084,SO-500084,Sea,SG4,In Progress,Delivered,Y,N,N,N,Y,Y,N,N,Y,74.9,True,False,False,False,True,True,False,False
SHP-700085,CTR-2025085,SO-500085,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,74.4,True,True,True,True,True,True,True,True
SHP-700086,CTR-2025086,SO-500086,Sea,SG7,In Progress,Open,Y,N,Y,Y,Y,N,Y,N,Y,98.8,True,False,True,True,True,False,True,False
SHP-700087,CTR-2025087,SO-500087,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,88.4,False,True,True,True,True,True,True,True
SHP-700088,CTR-2025088,SO-500088,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,Y,Y,N,Y,Y,79.0,True,True,True,False,True,True,False,True
SHP-700089,CTR-2025089,SO-500089,Sea,SG9,In Progress,Cancelled,N,Y,N,Y,Y,Y,Y,N,Y,75.3,False,True,False,True,True,True,True,False
SHP-700090,CTR-2025090,SO-500090,Sea,SG6,In Progress,Delivered,Y,Y,N,Y,N,Y,Y,Y,Y,90.3,True,True,False,True,False,True,True,True
SHP-700091,CTR-2025091,SO-500091,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,91.5,True,True,True,True,False,True,True,True
SHP-700092,CTR-2025092,SO-500092,Land,SG6,In Progress,Delivered,N,Y,N,Y,N/A,N,N,N,Y,83.4,False,True,False,True,False,False,False,False
SHP-700093,CTR-2025093,SO-500093,Sea,SG7,In Progress,Cancelled,Y,Y,N,N,Y,Y,Y,N,Y,91.7,True,True,False,False,True,True,True,False
SHP-700094,CTR-2025094,SO-500094,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,93.3,True,True,True,True,True,True,True,False
SHP-700095,CTR-2025095,SO-500095,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,87.7,True,True,True,True,True,True,True,False
SHP-700096,CTR-2025096,SO-500096,Sea,SG9,In Progress,Open,Y,Y,Y,Y,Y,N,Y,N,Y,75.9,True,True,True,True,True,False,True,False
SHP-700097,CTR-2025097,SO-500097,Sea,SG3,In Progress,Delivered,Y,Y,N,Y,N,N,Y,Y,Y,73.9,True,True,False,True,False,False,True,True
SHP-700098,CTR-2025098,SO-500098,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,84.3,True,True,True,True,True,False,True,False
SHP-700099,CTR-2025099,SO-500099,Sea,SG5,In Progress,Delivered,Y,N,N,Y,Y,N,Y,Y,Y,73.1,True,False,False,True,True,False,True,True
SHP-700100,CTR-2025100,SO-500100,Sea,SG3,In Progress,Cancelled,N,Y,N,Y,N,Y,Y,N,Y,96.3,False,True,False,True,False,True,True,False
SHP-700101,CTR-2025101,SO-500101,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,79.8,False,True,True,True,True,True,True,True
SHP-700102,CTR-2025102,SO-500102,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,86.6,True,True,True,True,True,True,True,False
SHP-700103,CTR-2025103,SO-500103,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,81.2,True,True,True,True,True,True,False,False
SHP-700104,CTR-2025104,SO-500104,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,88.9,True,True,True,True,True,True,True,False
SHP-700105,CTR-2025105,SO-500105,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,77.4,True,True,True,True,True,True,True,False
SHP-700106,CTR-2025106,SO-500106,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,Y,N,Y,Y,Y,91.5,True,False,True,True,True,False,True,True
SHP-700107,CTR-2025107,SO-500107,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,Y,Y,95.7,True,True,True,False,False,True,True,True
SHP-700108,CTR-2025108,SO-500108,Sea,SG6,In Progress,Open,Y,N,Y,Y,Y,Y,Y,Y,Y,82.1,True,False,True,True,True,True,True,True
SHP-700109,CTR-2025109,SO-500109,Sea,SG8,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,95.4,True,False,True,True,True,True,True,False
SHP-700110,CTR-2025110,SO-500110,Sea,SG8,In Progress,Open,Y,Y,Y,Y,Y,N,Y,Y,Y,75.0,True,True,True,True,True,False,True,True
SHP-700111,CTR-2025111,SO-500111,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,Y,Y,85.8,True,True,True,False,True,True,True,True
SHP-700112,CTR-2025112,SO-500112,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,N,Y,Y,Y,75.6,True,True,True,True,False,False,True,True
SHP-700113,CTR-2025113,SO-500113,Land,SG10,Complete,Cancelled,Y,Y,Y,Y,N/A,Y,Y,N,Y,72.2,True,True,True,True,False,True,True,False
SHP-700114,CTR-2025114,SO-500114,Sea,SG8,In Progress,Cancelled,Y,Y,Y,N,Y,N,Y,Y,Y,92.0,True,True,True,False,True,False,True,True
SHP-700115,CTR-2025115,SO-500115,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,N,Y,Y,Y,74.4,False,True,True,True,True,False,True,True
SHP-700116,CTR-2025116,SO-500116,Sea,SG8,In Progress,Cancelled,Y,N,Y,N,Y,Y,Y,N,Y,93.8,True,False,True,False,True,True,True,False
SHP-700117,CTR-2025117,SO-500117,Sea,SG9,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,93.5,True,False,True,True,True,True,True,False
SHP-700118,CTR-2025118,SO-500118,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,N,Y,Y,N,Y,93.7,True,False,True,True,False,True,True,False
SHP-700119,CTR-2025119,SO-500119,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,98.4,True,True,True,True,True,False,True,False
SHP-700120,CTR-2025120,SO-500120,Sea,SG7,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,87.8,True,True,False,True,True,True,True,False
SHP-700121,CTR-2025121,SO-500121,Sea,SG9,In Progress,Open,Y,N,Y,Y,Y,Y,Y,Y,Y,86.9,True,False,True,True,True,True,True,True
SHP-700122,CTR-2025122,SO-500122,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,89.0,True,False,True,True,True,True,True,False
SHP-700123,CTR-2025123,SO-500123,Land,SG7,In Progress,Open,N,Y,Y,N,N/A,Y,N,N,Y,79.5,False,True,True,False,False,True,False,False
SHP-700124,CTR-2025124,SO-500124,Sea,SG9,In Progress,Delivered,Y,N,N,Y,Y,Y,Y,Y,Y,74.8,True,False,False,True,True,True,True,True
SHP-700125,CTR-2025125,SO-500125,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,96.6,True,True,True,True,True,True,True,True
SHP-700126,CTR-2025126,SO-500126,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,91.0,True,True,True,True,False,True,True,False
SHP-700127,CTR-2025127,SO-500127,Sea,SG8,In Progress,Cancelled,N,N,Y,Y,Y,Y,Y,Y,Y,91.0,False,False,True,True,True,True,True,True
SHP-700128,CTR-2025128,SO-500128,Sea,SG9,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,N,Y,85.5,True,False,True,False,True,True,True,False
SHP-700129,CTR-2025129,SO-500129,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,83.2,True,True,True,True,False,True,True,False
SHP-700130,CTR-2025130,SO-500130,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,N,Y,Y,Y,90.3,True,True,True,True,False,False,True,True
SHP-700131,CTR-2025131,SO-500131,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,82.7,True,True,True,True,False,True,True,False
SHP-700132,CTR-2025132,SO-500132,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,N,Y,85.9,True,False,True,True,True,True,True,False
SHP-700133,CTR-2025133,SO-500133,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,Y,Y,N,Y,83.2,True,True,True,True,False,True,True,False
SHP-700134,CTR-2025134,SO-500134,Sea,SG6,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,86.0,True,True,True,False,True,True,True,False
SHP-700135,CTR-2025135,SO-500135,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,72.5,True,True,True,True,True,True,True,True
SHP-700136,CTR-2025136,SO-500136,Land,SG8,In Progress,Cancelled,Y,Y,N,Y,N/A,Y,Y,N,Y,92.9,True,True,False,True,False,True,True,False
SHP-700137,CTR-2025137,SO-500137,Sea,SG7,In Progress,Cancelled,Y,Y,N,Y,Y,Y,Y,Y,Y,94.9,True,True,False,True,True,True,True,True
SHP-700138,CTR-2025138,SO-500138,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,Y,N,Y,N,Y,73.8,False,True,True,True,True,False,True,False
SHP-700139,CTR-2025139,SO-500139,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,97.5,True,True,True,True,True,True,True,False
SHP-700140,CTR-2025140,SO-500140,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,77.3,True,True,True,False,True,True,True,False
SHP-700141,CTR-2025141,SO-500141,Sea,SG7,In Progress,Cancelled,N,Y,Y,N,Y,Y,Y,Y,Y,82.5,False,True,True,False,True,True,True,True
SHP-700142,CTR-2025142,SO-500142,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,91.1,True,True,True,True,True,True,True,False
SHP-700143,CTR-2025143,SO-500143,Sea,SG4,In Progress,Cancelled,N,N,Y,Y,N,Y,Y,N,Y,86.3,False,False,True,True,False,True,True,False
SHP-700144,CTR-2025144,SO-500144,Sea,SG7,In Progress,Cancelled,Y,Y,N,Y,Y,Y,Y,Y,Y,86.8,True,True,False,True,True,True,True,True
SHP-700145,CTR-2025145,SO-500145,Land,SG9,In Progress,Open,Y,N,Y,Y,N/A,Y,N,N,Y,94.8,True,False,True,True,False,True,False,False
SHP-700146,CTR-2025146,SO-500146,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,98.9,True,True,True,True,True,True,True,False
SHP-700147,CTR-2025147,SO-500147,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,N,N,Y,88.8,True,True,True,True,True,False,False,False
SHP-700148,CTR-2025148,SO-500148,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,Y,Y,98.4,True,False,True,True,True,True,True,True
SHP-700149,CTR-2025149,SO-500149,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,Y,Y,76.4,True,False,True,True,True,True,True,True
SHP-700150,CTR-2025150,SO-500150,Sea,SG9,In Progress,Delivered,Y,Y,N,N,Y,Y,Y,N,Y,78.2,True,True,False,False,True,True,True,False
SHP-700151,CTR-2025151,SO-500151,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,72.8,True,True,True,True,True,True,True,False
SHP-700152,CTR-2025152,SO-500152,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,73.2,True,True,True,True,False,True,True,True
SHP-700153,CTR-2025153,SO-500153,Sea,SG8,In Progress,Open,Y,Y,Y,Y,Y,N,Y,Y,Y,81.6,True,True,True,True,True,False,True,True
SHP-700154,CTR-2025154,SO-500154,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,96.8,True,True,True,True,True,True,True,False
SHP-700155,CTR-2025155,SO-500155,Sea,SG6,In Progress,Delivered,N,Y,N,N,N,Y,Y,N,Y,79.6,False,True,False,False,False,True,True,False
SHP-700156,CTR-2025156,SO-500156,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,81.5,True,True,True,True,True,True,True,True
SHP-700157,CTR-2025157,SO-500157,Land,SG10,Complete,Delivered,Y,Y,Y,Y,N/A,Y,Y,Y,Y,85.4,True,True,True,True,False,True,True,True
SHP-700158,CTR-2025158,SO-500158,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,N,N,Y,73.9,True,True,True,True,False,True,False,False
SHP-700159,CTR-2025159,SO-500159,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,92.8,True,True,True,True,True,True,True,False
SHP-700160,CTR-2025160,SO-500160,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,N,N,N,Y,75.5,True,False,True,True,True,False,False,False
