shipment_id,contract_ref,freight_cost_usd_per_mt,port_cost_usd_per_mt,documentation_cost_usd,forwarding_agent,discharge_country,fta_scheme,standard_duty_rate_pct,preferential_duty_rate_pct
SHP-700028,CTR-2025028,31.62,11.2,492.02,Agent Gamma Shipping,Egypt,,12.8,12.8
SHP-700029,CTR-2025029,28.17,10.59,395.91,Agent Alpha Logistics,India,AIFTA,8.3,3.1
SHP-700030,CTR-2025030,30.94,9.81,234.7,Agent Beta Freight,Singapore,AFTA,10.0,2.9
SHP-700031,CTR-2025031,36.98,3.51,157.87,Agent Gamma Shipping,China,ACFTA,10.1,6.3
SHP-700032,CTR-2025032,28.19,8.15,307.33,Agent Gamma Shipping,Netherlands,EU MFN,12.8,4.7
SHP-700033,CTR-2025033,63.76,5.47,480.85,Agent Beta Freight,Saudi Arabia,,3.3,3.3
SHP-700034,CTR-2025034,65.67,8.23,453.85,Agent Beta Freight,Sri Lanka,,11.9,11.9
SHP-700035,CTR-2025035,38.38,6.17,454.29,Agent Gamma Shipping,India,AIFTA,4.5,1.2
SHP-700036,CTR-2025036,80.81,11.66,232.85,Agent Alpha Logistics,Bangladesh,,10.5,10.5
SHP-700037,CTR-2025037,31.87,10.32,501.66,Agent Gamma Shipping,India,AIFTA,9.9,5.0
SHP-700038,CTR-2025038,70.71,10.51,486.38,Agent Beta Freight,Saudi Arabia,,3.7,3.7
SHP-700039,CTR-2025039,80.31,5.58,581.09,Agent Gamma Shipping,Malaysia,Domestic,10.7,3.8
SHP-700040,CTR-2025040,27.17,8.22,229.15,Agent Alpha Logistics,Singapore,AFTA,5.0,2.8
SHP-700041,CTR-2025041,40.3,7.45,214.91,Agent Gamma Shipping,India,AIFTA,14.0,4.3
SHP-700042,CTR-2025042,74.33,7.51,215.98,Agent Alpha Logistics,Egypt,,13.9,13.9
SHP-700043,CTR-2025043,66.99,5.1,457.54,Agent Beta Freight,Egypt,,4.9,4.9
SHP-700044,CTR-2025044,63.59,9.79,332.46,Agent Alpha Logistics,Netherlands,EU MFN,6.7,2.8
SHP-700045,CTR-2025045,88.97,5.63,404.07,Agent Alpha Logistics,India,AIFTA,6.5,2.5
SHP-700046,CTR-2025046,41.4,11.24,196.56,Agent Gamma Shipping,China,ACFTA,6.2,4.0
SHP-700047,CTR-2025047,67.68,11.16,585.75,Agent Alpha Logistics,Egypt,,5.0,5.0
SHP-700048,CTR-2025048,54.44,11.51,234.74,Agent Alpha Logistics,Singapore,AFTA,11.1,3.9
SHP-700049,CTR-2025049,44.74,3.84,340.32,Agent Gamma Shipping,Netherlands,EU MFN,4.7,1.2
SHP-700050,CTR-2025050,76.71,4.27,238.73,Agent Alpha Logistics,China,ACFTA,4.6,2.4
SHP-700051,CTR-2025051,31.34,4.5,519.66,Agent Gamma Shipping,USA,,14.1,14.1
SHP-700052,CTR-2025052,48.01,8.9,454.71,Agent Beta Freight,Sri Lanka,,9.4,9.4
SHP-700053,CTR-2025053,69.37,8.66,355.01,Agent Alpha Logistics,India,AIFTA,6.2,1.4
SHP-700054,CTR-2025054,82.91,8.13,596.23,Agent Alpha Logistics,Bangladesh,,13.0,13.0
SHP-700055,CTR-2025055,35.64,9.23,590.98,Agent Gamma Shipping,USA,,11.1,11.1
SHP-700056,CTR-2025056,89.06,9.18,198.16,Agent Gamma Shipping,Malaysia,Domestic,5.9,3.5
SHP-700057,CTR-2025057,75.75,11.19,433.79,Agent Alpha Logistics,USA,,7.6,7.6
SHP-700058,CTR-2025058,52.96,6.94,492.96,Agent Gamma Shipping,Nigeria,,6.7,6.7
SHP-700059,CTR-2025059,85.85,11.47,481.84,Agent Gamma Shipping,Pakistan,MPCEPA-like,5.1,3.3
SHP-700060,CTR-2025060,41.43,3.61,560.49,Agent Alpha Logistics,Turkey,,6.2,6.2
SHP-700061,CTR-2025061,66.16,9.49,473.72,Agent Gamma Shipping,Bangladesh,,6.1,6.1
SHP-700062,CTR-2025062,26.83,6.38,215.74,Agent Gamma Shipping,Nigeria,,10.5,10.5
SHP-700063,CTR-2025063,78.5,5.12,332.34,Agent Gamma Shipping,Saudi Arabia,,10.8,10.8
SHP-700064,CTR-2025064,63.74,3.97,271.33,Agent Beta Freight,Pakistan,MPCEPA-like,3.2,2.1
SHP-700065,CTR-2025065,78.28,11.99,448.29,Agent Gamma Shipping,India,AIFTA,5.5,1.8
SHP-700066,CTR-2025066,87.75,11.24,211.09,Agent Alpha Logistics,India,AIFTA,9.0,5.4
SHP-700067,CTR-2025067,88.53,11.68,284.74,Agent Gamma Shipping,USA,,5.0,5.0
SHP-700068,CTR-2025068,31.51,5.45,320.24,Agent Gamma Shipping,Bangladesh,,12.8,12.8
SHP-700069,CTR-2025069,30.75,6.08,337.27,Agent Beta Freight,India,AIFTA,14.8,7.6
SHP-700070,CTR-2025070,35.83,11.88,276.66,Agent Gamma Shipping,Sri Lanka,,12.9,12.9
SHP-700071,CTR-2025071,29.55,3.51,567.94,Agent Beta Freight,Netherlands,EU MFN,4.4,2.2
SHP-700072,CTR-2025072,57.29,10.59,468.86,Agent Gamma Shipping,Turkey,,8.4,8.4
SHP-700073,CTR-2025073,72.57,4.57,436.79,Agent Gamma Shipping,Egypt,,7.3,7.3
SHP-700074,CTR-2025074,29.6,6.25,363.54,Agent Beta Freight,China,ACFTA,9.4,6.6
SHP-700075,CTR-2025075,78.04,6.89,417.94,Agent Alpha Logistics,Saudi Arabia,,12.6,12.6
SHP-700076,CTR-2025076,82.63,6.7,337.82,Agent Alpha Logistics,China,ACFTA,10.3,5.3
SHP-700077,CTR-2025077,34.38,3.84,543.09,Agent Alpha Logistics,Nigeria,,3.2,3.2
SHP-700078,CTR-2025078,40.37,4.9,294.01,Agent Gamma Shipping,Bangladesh,,11.8,11.8
SHP-700079,CTR-2025079,57.89,4.46,538.71,Agent Beta Freight,India,AIFTA,14.5,9.1
SHP-700080,CTR-2025080,51.44,9.86,153.88,Agent Gamma Shipping,Egypt,,4.7,4.7
SHP-700081,CTR-2025081,26.3,8.28,383.11,Agent Beta Freight,Bangladesh,,8.5,8.5
SHP-700082,CTR-2025082,25.49,6.8,479.5,Agent Gamma Shipping,China,ACFTA,11.6,4.9
SHP-700083,CTR-2025083,40.15,10.32,244.84,Agent Alpha Logistics,Sri Lanka,,10.1,10.1
SHP-700084,CTR-2025084,40.39,8.65,266.24,Agent Gamma Shipping,Singapore,AFTA,13.0,5.3
SHP-700085,CTR-2025085,81.36,9.02,241.92,Agent Gamma Shipping,India,AIFTA,8.4,3.7
SHP-700086,CTR-2025086,65.74,6.23,368.65,Agent Beta Freight,India,AIFTA,14.9,6.6
SHP-700087,CTR-2025087,61.78,11.25,473.41,Agent Beta Freight,China,ACFTA,12.6,5.4
SHP-700088,CTR-2025088,63.11,7.43,260.62,Agent Beta Freight,Singapore,AFTA,5.3,2.3
SHP-700089,CTR-2025089,84.46,6.02,389.87,Agent Gamma Shipping,Turkey,,14.4,14.4
SHP-700090,CTR-2025090,66.05,7.89,194.62,Agent Beta Freight,Malaysia,Domestic,4.6,1.8
SHP-700091,CTR-2025091,65.49,7.02,224.05,Agent Beta Freight,India,AIFTA,12.3,3.8
SHP-700092,CTR-2025092,51.41,11.34,382.77,Agent Beta Freight,Pakistan,MPCEPA-like,11.5,4.7
SHP-700093,CTR-2025093,30.47,11.86,413.61,Agent Gamma Shipping,Pakistan,MPCEPA-like,11.0,3.8
SHP-700094,CTR-2025094,32.12,11.69,260.45,Agent Beta Freight,Netherlands,EU MFN,5.1,2.7
SHP-700095,CTR-2025095,71.64,9.99,426.52,Agent Gamma Shipping,USA,,11.1,11.1
SHP-700096,CTR-2025096,83.01,3.71,594.61,Agent Beta Freight,China,ACFTA,7.0,2.3
SHP-700097,CTR-2025097,50.31,9.59,257.55,Agent Gamma Shipping,Malaysia,Domestic,11.2,3.4
SHP-700098,CTR-2025098,43.28,6.7,158.84,Agent Alpha Logistics,Turkey,,5.8,5.8
SHP-700099,CTR-2025099,82.16,11.69,153.19,Agent Gamma Shipping,India,AIFTA,7.1,2.6
SHP-700100,CTR-2025100,69.22,10.43,505.54,Agent Gamma Shipping,China,ACFTA,4.8,1.3
SHP-700101,CTR-2025101,65.06,3.4,315.93,Agent Alpha Logistics,China,ACFTA,10.5,3.7
SHP-700102,CTR-2025102,75.03,10.3,576.22,Agent Beta Freight,USA,,7.8,7.8
SHP-700103,CTR-2025103,51.42,9.95,558.49,Agent Gamma Shipping,India,AIFTA,8.8,5.7
SHP-700104,CTR-2025104,30.68,11.43,240.41,Agent Gamma Shipping,India,AIFTA,12.9,7.7
SHP-700105,CTR-2025105,77.33,10.65,172.44,Agent Beta Freight,India,AIFTA,6.5,4.4
SHP-700106,CTR-2025106,34.74,7.84,157.64,Agent Beta Freight,Singapore,AFTA,9.9,5.2
SHP-700107,CTR-2025107,87.42,3.4,156.31,Agent Beta Freight,Turkey,,4.7,4.7
SHP-700108,CTR-2025108,61.85,11.39,155.98,Agent Beta Freight,Singapore,AFTA,11.0,6.7
SHP-700109,CTR-2025109,60.23,7.14,182.5,Agent Beta Freight,Sri Lanka,,9.0,9.0
SHP-700110,CTR-2025110,69.49,7.53,368.38,Agent Alpha Logistics,Saudi Arabia,,12.2,12.2
SHP-700111,CTR-2025111,34.71,8.83,542.58,Agent Gamma Shipping,Bangladesh,,5.1,5.1
SHP-700112,CTR-2025112,64.85,4.41,383.26,Agent Alpha Logistics,Turkey,,14.5,14.5
SHP-700113,CTR-2025113,29.74,8.64,518.02,Agent Beta Freight,Netherlands,EU MFN,6.0,3.6
SHP-700114,CTR-2025114,88.63,7.52,489.06,Agent Gamma Shipping,Saudi Arabia,,8.5,8.5
SHP-700115,CTR-2025115,33.61,7.92,190.26,Agent Alpha Logistics,Saudi Arabia,,9.6,9.6
SHP-700116,CTR-2025116,52.17,10.68,194.66,Agent Gamma Shipping,Bangladesh,,13.3,13.3
SHP-700117,CTR-2025117,30.9,5.36,208.01,Agent Alpha Logistics,Sri Lanka,,13.5,13.5
SHP-700118,CTR-2025118,71.8,3.91,505.01,Agent Beta Freight,Pakistan,MPCEPA-like,10.5,4.0
SHP-700119,CTR-2025119,40.19,8.75,471.15,Agent Alpha Logistics,Turkey,,5.8,5.8
SHP-700120,CTR-2025120,81.79,4.14,207.2,Agent Beta Freight,China,ACFTA,13.4,6.7
SHP-700121,CTR-2025121,52.79,4.45,197.61,Agent Alpha Logistics,China,ACFTA,11.4,6.6
SHP-700122,CTR-2025122,57.9,10.33,577.63,Agent Alpha Logistics,Netherlands,EU MFN,14.2,6.5
SHP-700123,CTR-2025123,59.82,6.55,362.36,Agent Beta Freight,Pakistan,MPCEPA-like,13.2,5.9
SHP-700124,CTR-2025124,56.87,10.62,299.98,Agent Alpha Logistics,Singapore,AFTA,13.0,5.2
SHP-700125,CTR-2025125,56.98,8.15,368.92,Agent Gamma Shipping,India,AIFTA,5.9,3.5
SHP-700126,CTR-2025126,46.71,3.96,287.29,Agent Beta Freight,Malaysia,Domestic,5.9,4.0
SHP-700127,CTR-2025127,35.98,7.15,295.42,Agent Gamma Shipping,India,AIFTA,6.7,1.5
SHP-700128,CTR-2025128,60.37,7.97,584.48,Agent Gamma Shipping,China,ACFTA,7.3,3.1
SHP-700129,CTR-2025129,49.53,5.32,355.99,Agent Gamma Shipping,Saudi Arabia,,5.9,5.9
SHP-700130,CTR-2025130,74.37,4.85,159.52,Agent Gamma Shipping,Turkey,,11.5,11.5
SHP-700131,CTR-2025131,52.23,9.98,242.24,Agent Gamma Shipping,Netherlands,EU MFN,7.1,3.4
SHP-700132,CTR-2025132,73.23,3.47,543.48,Agent Alpha Logistics,China,ACFTA,13.2,3.9
SHP-700133,CTR-2025133,47.91,9.5,206.99,Agent Alpha Logistics,China,ACFTA,6.8,4.4
SHP-700134,CTR-2025134,36.6,7.44,238.19,Agent Alpha Logistics,Sri Lanka,,4.0,4.0
SHP-700135,CTR-2025135,86.34,11.79,395.17,Agent Beta Freight,Pakistan,MPCEPA-like,7.5,5.0
SHP-700136,CTR-2025136,42.53,9.32,595.11,Agent Beta Freight,Nigeria,,10.9,10.9
SHP-700137,CTR-2025137,42.23,9.05,151.76,Agent Alpha Logistics,China,ACFTA,3.6,0.9
SHP-700138,CTR-2025138,89.96,10.22,285.03,Agent Alpha Logistics,Pakistan,MPCEPA-like,12.4,5.6
SHP-700139,CTR-2025139,34.83,5.56,490.34,Agent Beta Freight,USA,,7.5,7.5
SHP-700140,CTR-2025140,60.08,3.7,334.72,Agent Beta Freight,Malaysia,Domestic,3.2,0.8
SHP-700141,CTR-2025141,85.66,8.74,312.75,Agent Gamma Shipping,China,ACFTA,12.6,5.5
SHP-700142,CTR-2025142,32.05,10.88,380.52,Agent Alpha Logistics,Malaysia,Domestic,12.4,3.5
SHP-700143,CTR-2025143,56.68,8.63,410.9,Agent Alpha Logistics,Bangladesh,,14.4,14.4
SHP-700144,CTR-2025144,60.11,3.45,164.61,Agent Beta Freight,Netherlands,EU MFN,3.8,1.1
SHP-700145,CTR-2025145,73.32,9.51,219.65,Agent Beta Freight,China,ACFTA,4.6,2.8
SHP-700146,CTR-2025146,44.58,5.24,264.6,Agent Alpha Logistics,USA,,7.5,7.5
SHP-700147,CTR-2025147,56.78,6.67,213.98,Agent Gamma Shipping,India,AIFTA,14.8,3.4
SHP-700148,CTR-2025148,28.43,8.63,380.37,Agent Beta Freight,Pakistan,MPCEPA-like,3.7,2.3
SHP-700149,CTR-2025149,59.26,8.05,293.47,Agent Gamma Shipping,China,ACFTA,5.0,1.5
SHP-700150,CTR-2025150,63.58,4.89,586.55,Agent Alpha Logistics,Bangladesh,,4.4,4.4
SHP-700151,CTR-2025151,26.43,10.22,211.03,Agent Gamma Shipping,Netherlands,EU MFN,12.5,4.4
SHP-700152,CTR-2025152,34.47,9.28,571.87,Agent Alpha Logistics,China,ACFTA,10.7,6.3
SHP-700153,CTR-2025153,69.98,4.4,528.99,Agent Gamma Shipping,USA,,5.9,5.9
SHP-700154,CTR-2025154,38.6,3.65,564.02,Agent Beta Freight,Singapore,AFTA,11.4,4.6
SHP-700155,CTR-2025155,67.27,3.81,266.35,Agent Beta Freight,Saudi Arabia,,14.4,14.4
SHP-700156,CTR-2025156,46.92,6.62,205.49,Agent Alpha Logistics,China,ACFTA,3.6,1.6
SHP-700157,CTR-2025157,51.06,6.16,219.04,Agent Beta Freight,China,ACFTA,12.3,7.4
SHP-700158,CTR-2025158,48.83,6.36,468.25,Agent Gamma Shipping,Malaysia,Domestic,4.8,2.9
SHP-700159,CTR-2025159,37.37,6.3,204.62,Agent Gamma Shipping,Netherlands,EU MFN,4.3,2.2
SHP-700160,CTR-2025160,89.09,10.03,560.1,Agent Gamma Shipping,Pakistan,MPCEPA-like,7.7,3.8
SHP-700161,CTR-2025161,61.02,4.57,439.9,Agent Alpha Logistics,Malaysia,Domestic,7.5,4.7
SHP-700162,CTR-2025162,67.3,10.8,192.68,Agent Gamma Shipping,Pakistan,MPCEPA-like,13.7,9.0
SHP-700163,CTR-2025163,60.37,9.66,423.02,Agent Gamma Shipping,Nigeria,,12.1,12.1
SHP-700164,CTR-2025164,35.84,10.18,358.71,Agent Beta Freight,China,ACFTA,11.6,2.8
SHP-700165,CTR-2025165,36.31,6.04,397.44,Agent Alpha Logistics,India,AIFTA,3.2,1.3
SHP-700166,CTR-2025166,65.27,8.97,204.22,Agent Gamma Shipping,Netherlands,EU MFN,13.0,4.0
SHP-700167,CTR-2025167,80.35,4.41,529.14,Agent Gamma Shipping,Bangladesh,,14.7,14.7
SHP-700168,CTR-2025168,57.56,11.83,437.2,Agent Beta Freight,Singapore,AFTA,4.2,1.5
SHP-700169,CTR-2025169,47.75,11.36,415.89,Agent Alpha Logistics,Pakistan,MPCEPA-like,3.8,1.8
SHP-700170,CTR-2025170,67.43,5.3,237.72,Agent Alpha Logistics,China,ACFTA,7.4,4.6
SHP-700171,CTR-2025171,78.75,8.06,243.38,Agent Beta Freight,China,ACFTA,12.1,6.7
SHP-700172,CTR-2025172,61.97,10.81,584.97,Agent Beta Freight,Saudi Arabia,,8.2,8.2
SHP-700173,CTR-2025173,54.39,4.29,293.87,Agent Beta Freight,India,AIFTA,7.7,5.2
SHP-700174,CTR-2025174,81.43,10.93,187.47,Agent Beta Freight,Sri Lanka,,7.2,7.2
SHP-700175,CTR-2025175,72.1,5.8,368.37,Agent Alpha Logistics,Netherlands,EU MFN,12.4,5.2
SHP-700176,CTR-2025176,75.56,6.44,319.29,Agent Alpha Logistics,Nigeria,,8.3,8.3
SHP-700177,CTR-2025177,48.88,7.73,312.8,Agent Gamma Shipping,Nigeria,,12.7,12.7
SHP-700178,CTR-2025178,59.08,9.04,274.89,Agent Gamma Shipping,Nigeria,,6.2,6.2
SHP-700179,CTR-2025179,85.67,9.51,441.47,Agent Gamma Shipping,Saudi Arabia,,9.9,9.9
SHP-700180,CTR-2025180,26.9,8.56,395.59,Agent Alpha Logistics,Bangladesh,,9.1,9.1
SHP-700181,CTR-2025181,48.36,3.73,577.84,Agent Gamma Shipping,Nigeria,,5.3,5.3
SHP-700182,CTR-2025182,51.57,7.2,472.73,Agent Gamma Shipping,Pakistan,MPCEPA-like,3.6,0.8
SHP-700183,CTR-2025183,59.98,7.58,225.71,Agent Beta Freight,Singapore,AFTA,5.9,3.4
SHP-700184,CTR-2025184,37.35,7.15,440.36,Agent Alpha Logistics,Netherlands,EU MFN,6.4,2.1
SHP-700185,CTR-2025185,67.31,10.42,182.89,Agent Beta Freight,Saudi Arabia,,8.0,8.0
SHP-700186,CTR-2025186,42.79,11.82,469.38,Agent Gamma Shipping,Sri Lanka,,10.2,10.2
SHP-700187,CTR-2025187,25.48,7.66,406.15,Agent Alpha Logistics,USA,,3.5,3.5
SHP-700188,CTR-2025188,84.85,11.72,575.26,Agent Beta Freight,Pakistan,MPCEPA-like,9.5,4.1
SHP-700189,CTR-2025189,68.78,3.58,258.11,Agent Gamma Shipping,Nigeria,,8.6,8.6
SHP-700190,CTR-2025190,55.54,7.1,310.55,Agent Gamma Shipping,USA,,10.0,10.0
SHP-700191,CTR-2025191,35.68,7.53,448.81,Agent Alpha Logistics,Turkey,,13.0,13.0
SHP-700192,CTR-2025192,46.99,11.42,244.21,Agent Beta Freight,Turkey,,13.9,13.9
SHP-700193,CTR-2025193,27.56,9.67,550.43,Agent Gamma Shipping,India,AIFTA,12.9,8.8
SHP-700194,CTR-2025194,64.03,7.77,261.0,Agent Gamma Shipping,Nigeria,,3.3,3.3
SHP-700195,CTR-2025195,54.87,8.66,484.19,Agent Alpha Logistics,Sri Lanka,,9.7,9.7
SHP-700196,CTR-2025196,43.18,8.08,487.57,Agent Alpha Logistics,India,AIFTA,4.1,1.7
SHP-700197,CTR-2025197,70.07,11.92,298.29,Agent Alpha Logistics,Pakistan,MPCEPA-like,6.3,2.8
SHP-700198,CTR-2025198,53.64,10.71,547.1,Agent Gamma Shipping,Sri Lanka,,11.2,11.2
SHP-700199,CTR-2025199,38.23,10.86,549.87,Agent Gamma Shipping,Turkey,,3.7,3.7
SHP-700200,CTR-2025200,46.39,5.83,171.5,Agent Beta Freight,Pakistan,MPCEPA-like,9.1,6.1
SHP-700201,CTR-2025201,47.9,10.71,239.62,Agent Beta Freight,Turkey,,7.8,7.8
SHP-700202,CTR-2025202,52.61,6.47,377.3,Agent Gamma Shipping,Malaysia,Domestic,14.0,8.1
SHP-700203,CTR-2025203,89.24,7.19,268.02,Agent Gamma Shipping,Egypt,,3.7,3.7
SHP-700204,CTR-2025204,53.34,4.41,495.08,Agent Gamma Shipping,Bangladesh,,14.4,14.4
SHP-700205,CTR-2025205,42.44,8.32,573.58,Agent Alpha Logistics,Egypt,,11.7,11.7
SHP-700206,CTR-2025206,82.31,7.64,402.97,Agent Alpha Logistics,Turkey,,12.3,12.3
SHP-700207,CTR-2025207,60.93,4.03,270.99,Agent Beta Freight,Malaysia,Domestic,4.5,2.1
SHP-700208,CTR-2025208,26.37,9.51,417.87,Agent Beta Freight,Turkey,,3.4,3.4
SHP-700209,CTR-2025209,60.05,11.72,178.62,Agent Beta Freight,Sri Lanka,,8.8,8.8
SHP-700210,CTR-2025210,60.86,10.57,343.65,Agent Alpha Logistics,Turkey,,15.0,15.0
SHP-700211,CTR-2025211,45.82,11.16,332.57,Agent Alpha Logistics,Malaysia,Domestic,5.3,2.7
SHP-700212,CTR-2025212,27.67,6.13,576.96,Agent Beta Freight,India,AIFTA,6.2,3.4
SHP-700213,CTR-2025213,42.42,10.3,181.75,Agent Alpha Logistics,Singapore,AFTA,3.7,1.7
SHP-700214,CTR-2025214,85.71,9.9,520.75,Agent Beta Freight,Nigeria,,10.9,10.9
SHP-700215,CTR-2025215,67.09,11.72,566.1,Agent Gamma Shipping,Nigeria,,11.6,11.6
SHP-700216,CTR-2025216,58.61,4.05,207.09,Agent Gamma Shipping,Egypt,,9.3,9.3
SHP-700217,CTR-2025217,63.51,7.34,237.68,Agent Alpha Logistics,Malaysia,Domestic,10.5,2.2
SHP-700218,CTR-2025218,56.94,11.55,471.61,Agent Gamma Shipping,Singapore,AFTA,7.6,3.1
SHP-700219,CTR-2025219,64.25,5.69,584.71,Agent Beta Freight,Malaysia,Domestic,7.9,2.4
SHP-700220,CTR-2025220,33.49,6.35,501.21,Agent Beta Freight,China,ACFTA,3.3,1.0
SHP-700221,CTR-2025221,38.08,3.72,188.14,Agent Alpha Logistics,Pakistan,MPCEPA-like,8.7,1.8
SHP-700222,CTR-2025222,77.5,9.94,457.43,Agent Beta Freight,China,ACFTA,14.0,8.8
SHP-700223,CTR-2025223,28.4,10.05,378.82,Agent Gamma Shipping,India,AIFTA,13.1,7.9
SHP-700224,CTR-2025224,40.14,10.61,220.06,Agent Beta Freight,India,AIFTA,11.7,8.1
SHP-700225,CTR-2025225,39.67,4.91,234.11,Agent Gamma Shipping,Nigeria,,12.5,12.5
SHP-700226,CTR-2025226,29.33,11.99,525.86,Agent Alpha Logistics,Egypt,,3.3,3.3
SHP-700227,CTR-2025227,48.75,10.57,566.79,Agent Alpha Logistics,Malaysia,Domestic,9.7,6.3
SHP-700228,CTR-2025228,25.59,3.68,451.19,Agent Beta Freight,Bangladesh,,6.0,6.0
SHP-700229,CTR-2025229,82.74,7.14,512.24,Agent Gamma Shipping,Pakistan,MPCEPA-like,10.3,3.0
SHP-700230,CTR-2025230,87.88,5.42,401.61,Agent Alpha Logistics,Pakistan,MPCEPA-like,8.9,2.2
SHP-700231,CTR-2025231,57.68,4.3,300.35,Agent Beta Freight,Nigeria,,8.3,8.3
SHP-700232,CTR-2025232,58.92,8.27,492.45,Agent Beta Freight,Egypt,,3.1,3.1
SHP-700233,CTR-2025233,71.35,6.3,489.72,Agent Gamma Shipping,Egypt,,3.6,3.6
SHP-700234,CTR-2025234,87.09,5.16,409.62,Agent Gamma Shipping,India,AIFTA,6.9,2.0
SHP-700235,CTR-2025235,35.06,6.21,402.05,Agent Alpha Logistics,Nigeria,,11.4,11.4
SHP-700236,CTR-2025236,50.12,6.78,185.33,Agent Gamma Shipping,India,AIFTA,9.7,2.0
SHP-700237,CTR-2025237,82.28,3.7,564.02,Agent Gamma Shipping,Turkey,,11.5,11.5
SHP-700238,CTR-2025238,42.59,6.33,546.77,Agent Gamma Shipping,Bangladesh,,9.8,9.8
SHP-700239,CTR-2025239,86.22,9.66,451.12,Agent Gamma Shipping,Saudi Arabia,,4.0,4.0
SHP-700240,CTR-2025240,51.67,7.24,505.73,Agent Alpha Logistics,Malaysia,Domestic,3.6,1.1
SHP-700241,CTR-2025241,54.51,5.71,534.48,Agent Alpha Logistics,Sri Lanka,,7.6,7.6
SHP-700242,CTR-2025242,73.68,5.45,564.34,Agent Alpha Logistics,China,ACFTA,4.4,1.4
SHP-700243,CTR-2025243,62.8,7.8,314.71,Agent Beta Freight,Sri Lanka,,10.2,10.2
SHP-700244,CTR-2025244,77.46,7.71,391.59,Agent Beta Freight,India,AIFTA,4.4,1.2
SHP-700245,CTR-2025245,85.88,5.78,493.84,Agent Beta Freight,Saudi Arabia,,13.4,13.4
SHP-700246,CTR-2025246,41.11,3.33,239.85,Agent Gamma Shipping,Pakistan,MPCEPA-like,4.2,2.4
SHP-700247,CTR-2025247,49.13,7.52,200.95,Agent Gamma Shipping,Saudi Arabia,,11.7,11.7
SHP-700248,CTR-2025248,51.41,7.37,227.26,Agent Alpha Logistics,Malaysia,Domestic,9.5,5.8
