shipment_id,contract_ref,counterparty_name,product,discharge_port,lc_number,payment_terms_id,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,has_hs_code,limit_utilisation_pct,risk_score,rag
SHP-700011,CTR-2025011,Lagos Industrial Chemicals Ltd,2-Ethylhexanol (Oxo Alcohol),Singapore,,TT advance,Y,Y,Y,N,Y,Y,Y,Y,True,,0,Green
SHP-700012,CTR-2025012,Istanbul Kimya Sanayi,Acrylic Acid,Shanghai,LC-90012,LC at sight,Y,N,Y,N,N,Y,Y,N,True,,2,Amber
SHP-700013,CTR-2025013,PT Nusantara Polymer,2-Ethylhexanoic Acid (2-EHA),Lagos,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700014,CTR-2025014,Jeddah Petrochemicals Co,Highly Reactive Polyisobutene (HR-PIB),Istanbul,,TT 60 days,Y,Y,Y,Y,Y,Y,Y,Y,True,,0,Green
SHP-700015,CTR-2025015,Nile Delta Industrial Chemicals,Highly Reactive Polyisobutene (HR-PIB),Kandla,,TT advance,Y,Y,Y,Y,Y,N,Y,Y,True,136.1,2,Amber
SHP-700016,CTR-2025016,Meridian Specialty Chemicals Pvt Ltd,Highly Reactive Polyisobutene (HR-PIB),Singapore,LC-90016,LC at sight,Y,Y,Y,N,N,Y,N,N,True,,1,Green
SHP-700017,CTR-2025017,Nile Delta Industrial Chemicals,Crop Protection Herbicide Formulation,Los Angeles,LC-90017,LC at sight,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700018,CTR-2025018,Ganga Polymer Traders,2-Ethylhexanoic Acid (2-EHA),Guangzhou,LC-90018,LC at sight,N,N,Y,Y,Y,N,Y,Y,False,,4,Red
SHP-700019,CTR-2025019,Karachi Polymer Co.,2-Ethylhexanol (Oxo Alcohol),Lagos,,TT advance,N,Y,Y,Y,Y,Y,Y,Y,True,34.8,1,Green
SHP-700020,CTR-2025020,Guangzhou Performance Materials Ltd,2-Ethylhexanol (Oxo Alcohol),Lagos,LC-90020,LC 90 days,N,Y,N,Y,N,Y,Y,N,True,,2,Amber
SHP-700021,CTR-2025021,Guangzhou Performance Materials Ltd,Thermoplastic Polyurethane (TPU),Jeddah,,TT 30 days,N,N,Y,Y,Y,Y,Y,Y,True,,2,Amber
SHP-700022,CTR-2025022,Ganga Polymer Traders,Anionic Surfactant,Chennai,,TT advance,Y,Y,Y,Y,N,Y,Y,N,True,14.7,1,Green
SHP-700023,CTR-2025023,Istanbul Kimya Sanayi,2-Ethylhexanoic Acid (2-EHA),Kandla,LC-90023,LC 90 days,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700024,CTR-2025024,Jeddah Petrochemicals Co,Anionic Surfactant,Karachi,,TT 30 days,Y,Y,Y,N,N,Y,Y,Y,True,,1,Green
SHP-700025,CTR-2025025,Jeddah Petrochemicals Co,Anionic Surfactant,Los Angeles,,TT advance,N,Y,Y,N,Y,Y,Y,N,True,,1,Green
SHP-700026,CTR-2025026,Jeddah Petrochemicals Co,2-Ethylhexanol (Oxo Alcohol),Shanghai,,TT 60 days,Y,Y,Y,Y,N,Y,Y,Y,True,,1,Green
SHP-700027,CTR-2025027,Chittagong Specialty Chemicals,Acrylic Acid,"West Port, Malaysia",LC-90027,LC at sight,N,Y,Y,N,Y,N,Y,N,True,,2,Amber
SHP-700028,CTR-2025028,PT Nusantara Polymer,Highly Reactive Polyisobutene (HR-PIB),Shanghai,,TT advance,N,Y,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700029,CTR-2025029,Ganga Polymer Traders,Acrylic Acid,Shanghai,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,Y,True,56.9,0,Green
SHP-700030,CTR-2025030,Lagos Industrial Chemicals Ltd,2-Ethylhexanol (Oxo Alcohol),Chennai,LC-90030,LC 90 days,Y,Y,Y,Y,N,Y,Y,Y,True,,1,Green
SHP-700031,CTR-2025031,Chittagong Specialty Chemicals,Highly Reactive Polyisobutene (HR-PIB),Kandla,,TT advance,Y,Y,N,Y,N,Y,Y,N,True,,1,Green
SHP-700032,CTR-2025032,PT Nusantara Polymer,2-Ethylhexanol (Oxo Alcohol),Singapore,,TT 30 days,Y,Y,Y,Y,N,Y,Y,N,True,11.5,1,Green
SHP-700033,CTR-2025033,Nile Delta Industrial Chemicals,Highly Reactive Polyisobutene (HR-PIB),"West Port, Malaysia",,TT 60 days,Y,Y,Y,Y,Y,Y,N,N,True,,0,Green
SHP-700034,CTR-2025034,California Advanced Materials Inc,2-Ethylhexanoic Acid (2-EHA),Karachi,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700035,CTR-2025035,Meridian Specialty Chemicals Pvt Ltd,Acrylic Acid,Chittagong,,TT 60 days,Y,N,Y,Y,Y,Y,Y,Y,True,,1,Green
SHP-700036,CTR-2025036,PT Nusantara Polymer,Acrylic Acid,Guangzhou,,TT 60 days,Y,Y,Y,Y,Y,N,Y,N,True,,1,Green
SHP-700037,CTR-2025037,Lagos Industrial Chemicals Ltd,Thermoplastic Polyurethane (TPU),Karachi,,TT 60 days,Y,Y,Y,Y,Y,Y,Y,Y,True,,0,Green
SHP-700038,CTR-2025038,Chittagong Specialty Chemicals,Battery-Grade Lithium Hydroxide,Jeddah,LC-90038,LC 90 days,Y,Y,Y,N,Y,Y,Y,Y,False,,1,Green
SHP-700039,CTR-2025039,EuroChem Amsterdam,Crop Protection Herbicide Formulation,Lagos,,TT advance,Y,N,Y,Y,Y,N,Y,Y,True,,2,Amber
SHP-700040,CTR-2025040,Colombo Chemtrade,2-Ethylhexanoic Acid (2-EHA),Los Angeles,,TT 30 days,Y,Y,Y,N,Y,Y,Y,N,False,,1,Green
SHP-700041,CTR-2025041,Guangzhou Performance Materials Ltd,Crop Protection Herbicide Formulation,Singapore,LC-90041,LC 90 days,Y,N,N,Y,Y,Y,Y,Y,True,58.4,1,Green
SHP-700042,CTR-2025042,Nile Delta Industrial Chemicals,Battery-Grade Lithium Hydroxide,Rotterdam,LC-90042,LC at sight,N,Y,Y,N,Y,Y,Y,Y,False,,2,Amber
SHP-700043,CTR-2025043,California Advanced Materials Inc,Anionic Surfactant,Singapore,,TT advance,Y,Y,N,Y,Y,Y,Y,N,True,,0,Green
SHP-700044,CTR-2025044,California Advanced Materials Inc,Thermoplastic Polyurethane (TPU),Los Angeles,,TT 30 days,N,Y,Y,Y,N,Y,Y,N,True,,2,Amber
SHP-700045,CTR-2025045,Shanghai Huifeng Chemicals,Thermoplastic Polyurethane (TPU),Shanghai,,TT 30 days,Y,N,Y,Y,Y,Y,N,N,True,,1,Green
SHP-700046,CTR-2025046,Guangzhou Performance Materials Ltd,2-Ethylhexanoic Acid (2-EHA),Guangzhou,LC-90046,LC 90 days,Y,Y,Y,Y,Y,Y,Y,N,False,79.3,1,Green
SHP-700047,CTR-2025047,Ganga Polymer Traders,Crop Protection Herbicide Formulation,Shanghai,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700048,CTR-2025048,Ganga Polymer Traders,Crop Protection Herbicide Formulation,Guangzhou,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700049,CTR-2025049,Chittagong Specialty Chemicals,2-Ethylhexanoic Acid (2-EHA),Guangzhou,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700050,CTR-2025050,Shanghai Huifeng Chemicals,Anionic Surfactant,Los Angeles,,TT 60 days,Y,Y,Y,N,N,Y,Y,Y,True,,1,Green
SHP-700051,CTR-2025051,Nile Delta Industrial Chemicals,Anionic Surfactant,Colombo,LC-90051,LC at sight,Y,N,Y,N,N,Y,N,Y,True,,2,Amber
SHP-700052,CTR-2025052,Chittagong Specialty Chemicals,Crop Protection Herbicide Formulation,Kandla,LC-90052,LC 90 days,Y,Y,Y,Y,N,Y,Y,Y,True,81.5,2,Amber
SHP-700053,CTR-2025053,Meridian Specialty Chemicals Pvt Ltd,Thermoplastic Polyurethane (TPU),Chittagong,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700054,CTR-2025054,PT Nusantara Polymer,2-Ethylhexanoic Acid (2-EHA),Los Angeles,,TT advance,Y,Y,N,N,Y,Y,Y,Y,False,,1,Green
SHP-700055,CTR-2025055,Ganga Polymer Traders,Anionic Surfactant,"West Port, Malaysia",LC-90055,LC at sight,Y,Y,Y,Y,N/A,Y,Y,N,True,,0,Green
SHP-700056,CTR-2025056,Istanbul Kimya Sanayi,Thermoplastic Polyurethane (TPU),Los Angeles,LC-90056,LC 90 days,N,Y,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700057,CTR-2025057,California Advanced Materials Inc,Highly Reactive Polyisobutene (HR-PIB),Lagos,,TT 60 days,Y,N,Y,Y,Y,Y,Y,Y,True,,1,Green
SHP-700058,CTR-2025058,California Advanced Materials Inc,Anionic Surfactant,Karachi,,TT advance,Y,Y,Y,Y,N,Y,Y,N,True,41.9,1,Green
SHP-700059,CTR-2025059,EuroChem Amsterdam,Battery-Grade Lithium Hydroxide,Istanbul,LC-90059,LC 90 days,Y,Y,Y,Y,Y,N,Y,N,False,,2,Amber
SHP-700060,CTR-2025060,Chittagong Specialty Chemicals,Thermoplastic Polyurethane (TPU),Chittagong,LC-90060,LC 90 days,Y,N,Y,Y,N,Y,N,Y,True,,2,Amber
SHP-700061,CTR-2025061,Nile Delta Industrial Chemicals,Thermoplastic Polyurethane (TPU),Kandla,,TT 60 days,Y,N,Y,Y,N,Y,Y,N,True,,2,Amber
SHP-700062,CTR-2025062,Meridian Specialty Chemicals Pvt Ltd,Thermoplastic Polyurethane (TPU),"West Port, Malaysia",,TT 30 days,N,Y,Y,Y,N/A,Y,Y,Y,True,,1,Green
SHP-700063,CTR-2025063,Ganga Polymer Traders,Thermoplastic Polyurethane (TPU),Chennai,,TT 30 days,Y,Y,N,N,Y,Y,Y,Y,True,,0,Green
SHP-700064,CTR-2025064,EuroChem Amsterdam,Crop Protection Herbicide Formulation,Shanghai,LC-90064,LC 90 days,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700065,CTR-2025065,Rotterdam ChemTrade BV,2-Ethylhexanol (Oxo Alcohol),Los Angeles,,TT 30 days,Y,Y,Y,N,Y,Y,Y,Y,True,,0,Green
SHP-700066,CTR-2025066,Karachi Polymer Co.,Crop Protection Herbicide Formulation,"West Port, Malaysia",,TT 60 days,Y,Y,N,Y,Y,N,Y,N,True,28.4,1,Green
SHP-700067,CTR-2025067,Rotterdam ChemTrade BV,Highly Reactive Polyisobutene (HR-PIB),Istanbul,LC-90067,LC at sight,Y,N,Y,Y,Y,Y,Y,Y,True,,1,Green
SHP-700068,CTR-2025068,PT Nusantara Polymer,Thermoplastic Polyurethane (TPU),"West Port, Malaysia",,TT 60 days,N,Y,Y,N,N,Y,Y,Y,True,,2,Amber
SHP-700069,CTR-2025069,Meridian Specialty Chemicals Pvt Ltd,2-Ethylhexanol (Oxo Alcohol),Chennai,,TT advance,N,Y,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700070,CTR-2025070,Lagos Industrial Chemicals Ltd,Thermoplastic Polyurethane (TPU),Istanbul,LC-90070,LC at sight,Y,Y,Y,N,Y,Y,N,N,True,132.3,1,Green
SHP-700071,CTR-2025071,Chittagong Specialty Chemicals,Highly Reactive Polyisobutene (HR-PIB),"West Port, Malaysia",,TT advance,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700072,CTR-2025072,Istanbul Kimya Sanayi,2-Ethylhexanol (Oxo Alcohol),Guangzhou,LC-90072,LC at sight,Y,Y,Y,Y,Y,Y,Y,N,True,140.0,1,Green
SHP-700073,CTR-2025073,Guangzhou Performance Materials Ltd,Anionic Surfactant,Jeddah,LC-90073,LC 90 days,Y,N,Y,Y,Y,Y,Y,Y,True,,1,Green
SHP-700074,CTR-2025074,California Advanced Materials Inc,2-Ethylhexanoic Acid (2-EHA),Guangzhou,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700075,CTR-2025075,Chittagong Specialty Chemicals,Crop Protection Herbicide Formulation,Lagos,,TT 60 days,Y,N,Y,N,Y,Y,Y,Y,True,,1,Green
SHP-700076,CTR-2025076,Chittagong Specialty Chemicals,Acrylic Acid,Chittagong,,TT 60 days,Y,Y,Y,N,Y,N,Y,N,True,48.0,1,Green
SHP-700077,CTR-2025077,EuroChem Amsterdam,2-Ethylhexanoic Acid (2-EHA),Kandla,LC-90077,LC 90 days,Y,Y,Y,Y,N,Y,N,N,False,,2,Amber
SHP-700078,CTR-2025078,Guangzhou Performance Materials Ltd,2-Ethylhexanol (Oxo Alcohol),Alexandria,,TT 60 days,Y,Y,Y,Y,N,Y,Y,N,True,80.6,2,Amber
SHP-700079,CTR-2025079,Colombo Chemtrade,Thermoplastic Polyurethane (TPU),Chittagong,,TT 30 days,N,Y,Y,Y,N,Y,Y,N,True,,2,Amber
SHP-700080,CTR-2025080,Jeddah Petrochemicals Co,Crop Protection Herbicide Formulation,Shanghai,,TT advance,Y,Y,Y,Y,N,Y,Y,N,True,,1,Green
SHP-700081,CTR-2025081,Guangzhou Performance Materials Ltd,Battery-Grade Lithium Hydroxide,Colombo,LC-90081,LC at sight,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700082,CTR-2025082,PT Nusantara Polymer,Acrylic Acid,Rotterdam,LC-90082,LC at sight,Y,N,N,Y,Y,Y,N,N,True,,1,Green
SHP-700083,CTR-2025083,Colombo Chemtrade,Anionic Surfactant,Colombo,LC-90083,LC 90 days,N,Y,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700084,CTR-2025084,Guangzhou Performance Materials Ltd,2-Ethylhexanoic Acid (2-EHA),Kandla,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,Y,False,73.1,1,Green
SHP-700085,CTR-2025085,Shanghai Huifeng Chemicals,Anionic Surfactant,Guangzhou,,TT advance,Y,Y,Y,N,N,Y,Y,N,True,93.0,2,Amber
SHP-700086,CTR-2025086,EuroChem Amsterdam,Highly Reactive Polyisobutene (HR-PIB),Singapore,,TT 30 days,N,N,Y,Y,Y,Y,Y,Y,True,32.0,2,Amber
SHP-700087,CTR-2025087,Chittagong Specialty Chemicals,Thermoplastic Polyurethane (TPU),Istanbul,LC-90087,LC 90 days,Y,Y,Y,Y,Y,N,Y,N,True,,1,Green
SHP-700088,CTR-2025088,Colombo Chemtrade,Battery-Grade Lithium Hydroxide,Lagos,,TT advance,N,N,N,Y,Y,Y,N,N,False,,3,Amber
SHP-700089,CTR-2025089,Istanbul Kimya Sanayi,Acrylic Acid,"West Port, Malaysia",,TT advance,Y,Y,Y,Y,N/A,Y,Y,N,True,,0,Green
SHP-700090,CTR-2025090,Istanbul Kimya Sanayi,Highly Reactive Polyisobutene (HR-PIB),Karachi,LC-90090,LC at sight,Y,Y,Y,Y,Y,N,Y,N,True,,1,Green
SHP-700091,CTR-2025091,Jeddah Petrochemicals Co,2-Ethylhexanoic Acid (2-EHA),Karachi,,TT 30 days,Y,N,Y,Y,Y,N,Y,Y,False,,3,Amber
SHP-700092,CTR-2025092,Colombo Chemtrade,Thermoplastic Polyurethane (TPU),Rotterdam,,TT 60 days,Y,Y,Y,Y,N,Y,Y,N,True,,1,Green
SHP-700093,CTR-2025093,Colombo Chemtrade,Battery-Grade Lithium Hydroxide,Los Angeles,LC-90093,LC at sight,Y,N,Y,Y,N,Y,Y,Y,False,,3,Amber
SHP-700094,CTR-2025094,Istanbul Kimya Sanayi,Thermoplastic Polyurethane (TPU),Guangzhou,LC-90094,LC at sight,Y,Y,Y,Y,Y,Y,Y,Y,True,,0,Green
SHP-700095,CTR-2025095,Chittagong Specialty Chemicals,2-Ethylhexanoic Acid (2-EHA),"West Port, Malaysia",LC-90095,LC 90 days,Y,Y,Y,Y,Y,N,Y,Y,False,27.7,2,Amber
SHP-700096,CTR-2025096,Jeddah Petrochemicals Co,Highly Reactive Polyisobutene (HR-PIB),Istanbul,LC-90096,LC 90 days,Y,Y,Y,Y,Y,Y,Y,N,True,140.0,1,Green
SHP-700097,CTR-2025097,Karachi Polymer Co.,Battery-Grade Lithium Hydroxide,Chennai,,TT 30 days,Y,N,Y,Y,Y,Y,Y,N,False,19.6,2,Amber
SHP-700098,CTR-2025098,Ganga Polymer Traders,Anionic Surfactant,Guangzhou,LC-90098,LC at sight,Y,Y,Y,Y,Y,Y,Y,Y,True,,0,Green
SHP-700099,CTR-2025099,California Advanced Materials Inc,Acrylic Acid,Shanghai,LC-90099,LC at sight,N,Y,Y,N,Y,Y,Y,Y,True,,1,Green
SHP-700100,CTR-2025100,Colombo Chemtrade,Thermoplastic Polyurethane (TPU),Rotterdam,,TT 30 days,N,Y,Y,Y,N,Y,Y,Y,True,,2,Amber
SHP-700101,CTR-2025101,Ganga Polymer Traders,Anionic Surfactant,Rotterdam,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700102,CTR-2025102,EuroChem Amsterdam,2-Ethylhexanoic Acid (2-EHA),Istanbul,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700103,CTR-2025103,Chittagong Specialty Chemicals,Battery-Grade Lithium Hydroxide,Kandla,LC-90103,LC at sight,N,Y,Y,Y,Y,Y,N,N,False,,2,Amber
SHP-700104,CTR-2025104,Istanbul Kimya Sanayi,Battery-Grade Lithium Hydroxide,Istanbul,,TT advance,Y,Y,Y,N,Y,Y,Y,N,False,,1,Green
SHP-700105,CTR-2025105,EuroChem Amsterdam,Battery-Grade Lithium Hydroxide,Singapore,,TT 60 days,Y,Y,Y,N,Y,Y,Y,N,False,72.8,1,Green
SHP-700106,CTR-2025106,Shanghai Huifeng Chemicals,Battery-Grade Lithium Hydroxide,Colombo,,TT 30 days,N,Y,Y,Y,Y,Y,Y,N,False,54.6,2,Amber
SHP-700107,CTR-2025107,PT Nusantara Polymer,2-Ethylhexanoic Acid (2-EHA),Jeddah,,TT advance,Y,Y,Y,Y,N,Y,Y,Y,False,,2,Amber
SHP-700108,CTR-2025108,Karachi Polymer Co.,Acrylic Acid,Chittagong,LC-90108,LC at sight,N,Y,N,Y,Y,Y,Y,Y,True,,1,Green
SHP-700109,CTR-2025109,Colombo Chemtrade,Anionic Surfactant,Istanbul,,TT 60 days,N,Y,Y,Y,N,Y,Y,Y,True,,2,Amber
SHP-700110,CTR-2025110,Ganga Polymer Traders,Thermoplastic Polyurethane (TPU),Rotterdam,,TT 60 days,Y,Y,N,N,Y,Y,Y,Y,True,,0,Green
SHP-700111,CTR-2025111,Rotterdam ChemTrade BV,2-Ethylhexanoic Acid (2-EHA),Jeddah,LC-90111,LC at sight,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700112,CTR-2025112,Karachi Polymer Co.,Anionic Surfactant,Jeddah,LC-90112,LC at sight,Y,Y,Y,N,Y,Y,Y,Y,True,,0,Green
SHP-700113,CTR-2025113,Istanbul Kimya Sanayi,Crop Protection Herbicide Formulation,Lagos,,TT 30 days,N,Y,Y,Y,N,Y,Y,N,True,140.0,3,Amber
SHP-700114,CTR-2025114,Lagos Industrial Chemicals Ltd,Crop Protection Herbicide Formulation,Colombo,,TT 30 days,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700115,CTR-2025115,California Advanced Materials Inc,2-Ethylhexanol (Oxo Alcohol),Karachi,LC-90115,LC at sight,Y,Y,N,Y,Y,N,Y,N,True,,1,Green
SHP-700116,CTR-2025116,Lagos Industrial Chemicals Ltd,Highly Reactive Polyisobutene (HR-PIB),Istanbul,LC-90116,LC at sight,N,Y,Y,Y,Y,Y,Y,N,True,22.4,1,Green
SHP-700117,CTR-2025117,Istanbul Kimya Sanayi,Battery-Grade Lithium Hydroxide,Guangzhou,LC-90117,LC at sight,Y,Y,Y,Y,Y,N,Y,Y,False,,2,Amber
SHP-700118,CTR-2025118,Guangzhou Performance Materials Ltd,2-Ethylhexanoic Acid (2-EHA),"West Port, Malaysia",LC-90118,LC 90 days,Y,N,Y,Y,N/A,Y,Y,N,False,,2,Amber
SHP-700119,CTR-2025119,California Advanced Materials Inc,Anionic Surfactant,Rotterdam,,TT advance,Y,Y,Y,Y,Y,Y,Y,Y,True,,0,Green
SHP-700120,CTR-2025120,Rotterdam ChemTrade BV,2-Ethylhexanoic Acid (2-EHA),Karachi,,TT advance,Y,Y,Y,N,Y,N,Y,Y,False,,2,Amber
SHP-700121,CTR-2025121,Chittagong Specialty Chemicals,Crop Protection Herbicide Formulation,Singapore,,TT 60 days,N,Y,N,Y,Y,Y,Y,Y,True,,1,Green
SHP-700122,CTR-2025122,Istanbul Kimya Sanayi,Thermoplastic Polyurethane (TPU),Chennai,LC-90122,LC 90 days,Y,Y,Y,N,N,Y,Y,N,True,26.8,1,Green
SHP-700123,CTR-2025123,EuroChem Amsterdam,Battery-Grade Lithium Hydroxide,Chittagong,,TT advance,Y,Y,N,Y,Y,Y,Y,N,False,,1,Green
SHP-700124,CTR-2025124,Meridian Specialty Chemicals Pvt Ltd,Crop Protection Herbicide Formulation,Los Angeles,,TT advance,Y,Y,Y,Y,Y,Y,Y,N,True,,0,Green
SHP-700125,CTR-2025125,Shanghai Huifeng Chemicals,2-Ethylhexanol (Oxo Alcohol),Shanghai,,TT 60 days,Y,Y,Y,Y,Y,Y,Y,N,True,76.0,0,Green
SHP-700126,CTR-2025126,Karachi Polymer Co.,Thermoplastic Polyurethane (TPU),Jeddah,,TT 60 days,Y,N,Y,Y,Y,Y,Y,Y,True,,1,Green
SHP-700127,CTR-2025127,Karachi Polymer Co.,2-Ethylhexanoic Acid (2-EHA),Istanbul,,TT 30 days,Y,N,Y,Y,Y,Y,Y,N,False,,2,Amber
SHP-700128,CTR-2025128,Karachi Polymer Co.,Anionic Surfactant,Rotterdam,LC-90128,LC 90 days,N,Y,Y,N,Y,Y,N,N,True,,1,Green
SHP-700129,CTR-2025129,Chittagong Specialty Chemicals,Acrylic Acid,Shanghai,,TT advance,Y,Y,N,Y,Y,Y,Y,N,True,,0,Green
SHP-700130,CTR-2025130,Ganga Polymer Traders,Crop Protection Herbicide Formulation,Guangzhou,,TT advance,N,Y,Y,Y,N,Y,Y,Y,True,,2,Amber
SHP-700131,CTR-2025131,Jeddah Petrochemicals Co,Crop Protection Herbicide Formulation,"West Port, Malaysia",,TT advance,Y,Y,Y,Y,N/A,Y,Y,N,True,,0,Green
SHP-700132,CTR-2025132,Rotterdam ChemTrade BV,Battery-Grade Lithium Hydroxide,"West Port, Malaysia",,TT 60 days,Y,Y,N,Y,Y,Y,Y,N,False,,1,Green
SHP-700133,CTR-2025133,Meridian Specialty Chemicals Pvt Ltd,Thermoplastic Polyurethane (TPU),Los Angeles,LC-90133,LC 90 days,Y,N,Y,Y,Y,N,Y,N,True,,2,Amber
SHP-700134,CTR-2025134,Guangzhou Performance Materials Ltd,Acrylic Acid,Chennai,,TT 30 days,Y,N,Y,Y,Y,Y,Y,Y,True,67.3,1,Green
SHP-700135,CTR-2025135,Colombo Chemtrade,2-Ethylhexanoic Acid (2-EHA),Jeddah,,TT 30 days,Y,Y,Y,Y,Y,Y,Y,N,False,,1,Green
SHP-700136,CTR-2025136,Istanbul Kimya Sanayi,Crop Protection Herbicide Formulation,Chennai,,TT 60 days,Y,N,Y,Y,Y,Y,Y,N,True,,1,Green
SHP-700137,CTR-2025137,Meridian Specialty Chemicals Pvt Ltd,Battery-Grade Lithium Hydroxide,Los Angeles,,TT 60 days,Y,N,Y,Y,N,Y,Y,N,False,,3,Amber
SHP-700138,CTR-2025138,Meridian Specialty Chemicals Pvt Ltd,2-Ethylhexanoic Acid (2-EHA),"West Port, Malaysia",,TT advance,Y,N,Y,Y,Y,Y,Y,Y,False,,2,Amber
SHP-700139,CTR-2025139,Istanbul Kimya Sanayi,Highly Reactive Polyisobutene (HR-PIB),Guangzhou,,TT advance,Y,Y,N,Y,Y,Y,Y,N,True,,0,Green
SHP-700140,CTR-2025140,Guangzhou Performance Materials Ltd,Acrylic Acid,"West Port, Malaysia",LC-90140,LC 90 days,Y,N,Y,Y,N/A,Y,N,N,True,,1,Green
SHP-700141,CTR-2025141,California Advanced Materials Inc,2-Ethylhexanoic Acid (2-EHA),Chittagong,,TT 30 days,Y,Y,Y,Y,N,Y,Y,Y,False,,2,Amber
SHP-700142,CTR-2025142,Chittagong Specialty Chemicals,Crop Protection Herbicide Formulation,Rotterdam,LC-90142,LC 90 days,Y,N,Y,Y,Y,Y,Y,N,True,140.0,2,Amber
SHP-700143,CTR-2025143,Lagos Industrial Chemicals Ltd,Thermoplastic Polyurethane (TPU),Guangzhou,,TT 60 days,Y,Y,Y,Y,Y,Y,Y,Y,True,27.8,0,Green
SHP-700144,CTR-2025144,Meridian Specialty Chemicals Pvt Ltd,Thermoplastic Polyurethane (TPU),Los Angeles,LC-90144,LC 90 days,N,Y,Y,Y,Y,N,Y,N,True,,2,Amber
SHP-700145,CTR-2025145,California Advanced Materials Inc,Thermoplastic Polyurethane (TPU),Kandla,LC-90145,LC at sight,Y,Y,Y,N,Y,Y,Y,Y,True,45.5,0,Green
