contract_ref,product,counterparty_id,open_position_usd,mark_to_market_usd,var_usd,limit_usd,limit_utilisation_pct,as_of_date
CTR-2025255,2-Ethylhexanol (Oxo Alcohol),CP-08,4035099.63,-159572.11,200075.93,13371667.0,30.2,2026-06-30
CTR-2025256,2-Ethylhexanoic Acid (2-EHA),CP-10,8580738.43,182843.42,324884.18,5483964.0,140.0,2026-06-30
CTR-2025257,Thermoplastic Polyurethane (TPU),CP-13,2165460.22,-163493.46,245282.22,5342981.0,40.5,2026-06-30
CTR-2025259,Battery-Grade Lithium Hydroxide,CP-06,4700005.51,242898.97,337149.85,10147794.0,46.3,2026-06-30
CTR-2025261,2-Ethylhexanoic Acid (2-EHA),CP-05,4271336.07,65637.52,84407.25,10479654.0,40.8,2026-06-30
CTR-2025264,Thermoplastic Polyurethane (TPU),CP-03,3388731.63,-124905.93,231793.13,2219866.0,140.0,2026-06-30
CTR-2025265,2-Ethylhexanoic Acid (2-EHA),CP-08,3235807.99,-121577.98,210364.9,14991554.0,21.6,2026-06-30
CTR-2025275,Anionic Surfactant,CP-07,7234164.83,3328.32,6111.09,14550832.0,49.7,2026-06-30
CTR-2025279,Thermoplastic Polyurethane (TPU),CP-15,5250890.99,390122.91,519247.03,3764696.0,139.5,2026-06-30
CTR-2025287,Thermoplastic Polyurethane (TPU),CP-03,1746446.42,-63789.28,118186.52,5892501.0,29.6,2026-06-30
CTR-2025291,Battery-Grade Lithium Hydroxide,CP-05,1436613.27,-36265.74,71991.36,6918103.0,20.8,2026-06-30
CTR-2025292,Anionic Surfactant,CP-15,2565183.22,-136862.37,272211.24,10185887.0,25.2,2026-06-30
CTR-2025295,Anionic Surfactant,CP-09,2204686.96,-151658.23,188860.06,12671037.0,17.4,2026-06-30
CTR-2025296,Acrylic Acid,CP-06,757073.44,51936.86,82963.67,3564916.0,21.2,2026-06-30
CTR-2025304,2-Ethylhexanol (Oxo Alcohol),CP-02,4867611.31,162448.58,290051.65,12958291.0,37.6,2026-06-30
CTR-2025310,Highly Reactive Polyisobutene (HR-PIB),CP-08,2497387.4,54863.47,68939.09,4261528.0,58.6,2026-06-30
CTR-2025311,Battery-Grade Lithium Hydroxide,CP-03,5364958.46,425955.81,672851.23,6700022.0,80.1,2026-06-30
CTR-2025312,Acrylic Acid,CP-15,1669983.98,79194.84,132756.83,12608738.0,13.2,2026-06-30
CTR-2025317,2-Ethylhexanoic Acid (2-EHA),CP-01,5648101.82,94259.52,160619.63,13525741.0,41.8,2026-06-30
CTR-2025318,Thermoplastic Polyurethane (TPU),CP-11,3618816.56,-235333.43,285538.81,7425978.0,48.7,2026-06-30
CTR-2025319,Anionic Surfactant,CP-11,5707624.07,-263457.76,471280.7,13355945.0,42.7,2026-06-30
CTR-2025322,Thermoplastic Polyurethane (TPU),CP-07,4773902.83,-257782.3,507263.13,6160209.0,77.5,2026-06-30
CTR-2025329,Crop Protection Herbicide Formulation,CP-06,1382671.29,-20624.2,37327.51,13070558.0,10.6,2026-06-30
CTR-2025330,2-Ethylhexanol (Oxo Alcohol),CP-02,5486410.04,-421380.05,703401.88,3870390.0,140.0,2026-06-30
CTR-2025331,2-Ethylhexanoic Acid (2-EHA),CP-07,2312436.56,-182233.64,280302.55,7920134.0,29.2,2026-06-30
CTR-2025334,Thermoplastic Polyurethane (TPU),CP-03,3730298.66,138599.52,192156.48,11334886.0,32.9,2026-06-30
CTR-2025336,Thermoplastic Polyurethane (TPU),CP-05,3803141.52,-176001.42,244532.22,12570846.0,30.3,2026-06-30
CTR-2025337,Acrylic Acid,CP-01,3254330.74,-43932.02,61796.55,10164396.0,32.0,2026-06-30
CTR-2025340,Acrylic Acid,CP-14,3821833.75,-31745.38,50485.32,13271151.0,28.8,2026-06-30
CTR-2025345,Crop Protection Herbicide Formulation,CP-12,1301773.92,-29421.65,58740.8,4655334.0,28.0,2026-06-30
CTR-2025354,Anionic Surfactant,CP-09,4993108.6,52608.82,101714.15,8242386.0,60.6,2026-06-30
CTR-2025361,Crop Protection Herbicide Formulation,CP-13,3275674.01,114622.0,191302.79,12410635.0,26.4,2026-06-30
CTR-2025364,Acrylic Acid,CP-11,1519366.09,-8767.04,12244.53,8400772.0,18.1,2026-06-30
CTR-2025365,Anionic Surfactant,CP-09,3213828.56,232559.84,378245.61,13892948.0,23.1,2026-06-30
CTR-2025368,2-Ethylhexanoic Acid (2-EHA),CP-10,4049747.43,-240146.38,360377.34,10210077.0,39.7,2026-06-30
CTR-2025369,2-Ethylhexanoic Acid (2-EHA),CP-09,5784673.16,-49170.47,89607.67,3288899.0,140.0,2026-06-30
CTR-2025373,Highly Reactive Polyisobutene (HR-PIB),CP-02,4033099.92,-60443.44,117336.93,4866116.0,82.9,2026-06-30
CTR-2025379,2-Ethylhexanol (Oxo Alcohol),CP-06,4572561.43,12636.49,16015.11,11235484.0,40.7,2026-06-30
CTR-2025380,2-Ethylhexanol (Oxo Alcohol),CP-13,3464176.83,-118943.72,198475.05,14799487.0,23.4,2026-06-30
CTR-2025389,Thermoplastic Polyurethane (TPU),CP-03,1898561.75,-98790.53,169764.04,3423271.0,55.5,2026-06-30
CTR-2025400,Acrylic Acid,CP-04,5691847.36,252099.99,438335.27,5190908.0,109.7,2026-06-30
CTR-2025405,Anionic Surfactant,CP-13,7306041.28,-492571.3,721484.85,9988493.0,73.1,2026-06-30
CTR-2025406,Highly Reactive Polyisobutene (HR-PIB),CP-11,2250679.17,-39831.7,71143.01,5227737.0,43.1,2026-06-30
