shipment_id,contract_ref,freight_cost_usd_per_mt,port_cost_usd_per_mt,documentation_cost_usd,forwarding_agent,discharge_country,fta_scheme,standard_duty_rate_pct,preferential_duty_rate_pct
SHP-700072,CTR-2025072,88.79,3.88,307.5,Agent Gamma Shipping,China,ACFTA,6.6,3.4
SHP-700073,CTR-2025073,85.34,3.59,415.89,Agent Alpha Logistics,Saudi Arabia,None,9.6,9.6
SHP-700074,CTR-2025074,67.43,5.3,237.72,Agent Alpha Logistics,China,ACFTA,7.4,4.6
SHP-700075,CTR-2025075,78.75,8.06,471.12,Agent Beta Freight,Nigeria,None,12.1,12.1
SHP-700076,CTR-2025076,38.49,8.12,344.45,Agent Gamma Shipping,Bangladesh,None,13.4,13.4
SHP-700077,CTR-2025077,87.83,7.07,578.27,Agent Alpha Logistics,India,AIFTA,4.7,1.9
SHP-700078,CTR-2025078,45.78,10.81,307.58,Agent Beta Freight,Egypt,None,13.6,13.6
SHP-700079,CTR-2025079,30.41,9.52,502.32,Agent Beta Freight,Bangladesh,None,6.7,6.7
SHP-700080,CTR-2025080,53.77,7.37,349.41,Agent Gamma Shipping,China,ACFTA,12.3,4.8
SHP-700081,CTR-2025081,49.45,6.31,513.96,Agent Gamma Shipping,Sri Lanka,None,9.3,9.3
SHP-700082,CTR-2025082,48.51,7.72,274.89,Agent Alpha Logistics,Netherlands,EU MFN,11.0,3.7
SHP-700083,CTR-2025083,85.67,9.51,441.47,Agent Gamma Shipping,Sri Lanka,None,9.9,9.9
SHP-700084,CTR-2025084,26.9,8.56,311.74,Agent Gamma Shipping,India,AIFTA,9.1,4.3
SHP-700085,CTR-2025085,30.3,4.74,360.01,Agent Gamma Shipping,China,ACFTA,14.4,5.8
SHP-700086,CTR-2025086,28.43,3.34,378.92,Agent Gamma Shipping,Singapore,AFTA,11.6,5.4
SHP-700087,CTR-2025087,40.8,9.7,235.47,Agent Alpha Logistics,Turkey,None,5.0,5.0
SHP-700088,CTR-2025088,54.95,5.58,440.36,Agent Alpha Logistics,Nigeria,None,6.0,6.0
SHP-700089,CTR-2025089,67.31,10.42,273.15,Agent Alpha Logistics,Malaysia,Domestic,8.0,1.9
SHP-700090,CTR-2025090,88.7,8.37,383.19,Agent Beta Freight,Pakistan,MPCEPA-like,11.5,2.3
SHP-700091,CTR-2025091,27.44,8.12,393.25,Agent Beta Freight,Pakistan,MPCEPA-like,14.0,9.6
SHP-700092,CTR-2025092,54.78,11.51,359.58,Agent Beta Freight,Netherlands,EU MFN,11.1,2.6
SHP-700093,CTR-2025093,40.62,7.23,411.97,Agent Gamma Shipping,USA,None,8.5,8.5
SHP-700094,CTR-2025094,48.19,4.48,448.81,Agent Gamma Shipping,China,ACFTA,9.0,5.5
SHP-700095,CTR-2025095,46.99,11.42,167.74,Agent Alpha Logistics,Malaysia,Domestic,13.9,4.2
SHP-700096,CTR-2025096,73.19,10.45,550.43,Agent Alpha Logistics,Turkey,None,14.6,14.6
SHP-700097,CTR-2025097,64.03,7.77,356.83,Agent Gamma Shipping,India,AIFTA,3.3,1.1
SHP-700098,CTR-2025098,65.85,8.02,404.23,Agent Beta Freight,China,ACFTA,11.9,4.0
SHP-700099,CTR-2025099,30.73,6.72,595.79,Agent Beta Freight,China,ACFTA,12.0,6.6
SHP-700100,CTR-2025100,43.06,7.48,535.63,Agent Beta Freight,Netherlands,EU MFN,7.0,2.9
SHP-700101,CTR-2025101,69.47,10.94,176.89,Agent Beta Freight,Netherlands,EU MFN,5.4,3.4
SHP-700102,CTR-2025102,82.76,5.96,380.44,Agent Alpha Logistics,Turkey,None,6.8,6.8
SHP-700103,CTR-2025103,86.14,3.43,328.22,Agent Beta Freight,India,AIFTA,7.2,4.5
SHP-700104,CTR-2025104,37.95,6.82,561.94,Agent Beta Freight,Turkey,None,7.6,7.6
SHP-700105,CTR-2025105,74.53,7.55,176.21,Agent Gamma Shipping,Singapore,AFTA,14.9,6.4
SHP-700106,CTR-2025106,42.05,6.92,576.4,Agent Gamma Shipping,Sri Lanka,None,4.9,4.9
SHP-700107,CTR-2025107,74.85,5.41,474.65,Agent Alpha Logistics,Saudi Arabia,None,10.1,10.1
SHP-700108,CTR-2025108,86.18,10.93,498.59,Agent Beta Freight,Bangladesh,None,9.2,9.2
SHP-700109,CTR-2025109,61.54,7.97,206.76,Agent Alpha Logistics,Turkey,None,4.4,4.4
SHP-700110,CTR-2025110,59.42,5.42,164.62,Agent Beta Freight,Netherlands,EU MFN,3.3,1.9
SHP-700111,CTR-2025111,63.69,7.85,367.9,Agent Gamma Shipping,Saudi Arabia,None,14.6,14.6
SHP-700112,CTR-2025112,29.13,7.97,598.58,Agent Beta Freight,Saudi Arabia,None,13.1,13.1
SHP-700113,CTR-2025113,52.97,5.88,236.06,Agent Gamma Shipping,Nigeria,None,13.9,13.9
SHP-700114,CTR-2025114,65.0,6.65,306.28,Agent Alpha Logistics,Sri Lanka,None,3.5,3.5
SHP-700115,CTR-2025115,42.24,9.17,515.16,Agent Beta Freight,Pakistan,MPCEPA-like,14.4,4.8
SHP-700116,CTR-2025116,28.6,7.84,570.31,Agent Alpha Logistics,Turkey,None,3.8,3.8
SHP-700117,CTR-2025117,74.81,8.92,586.02,Agent Alpha Logistics,China,ACFTA,12.9,6.8
SHP-700118,CTR-2025118,71.41,11.32,387.68,Agent Alpha Logistics,Malaysia,Domestic,9.2,2.4
SHP-700119,CTR-2025119,33.25,8.33,154.52,Agent Gamma Shipping,Netherlands,EU MFN,8.8,4.5
SHP-700120,CTR-2025120,37.66,7.42,340.97,Agent Beta Freight,Pakistan,MPCEPA-like,14.4,5.6
SHP-700121,CTR-2025121,71.46,8.43,247.96,Agent Alpha Logistics,Singapore,AFTA,6.6,2.7
SHP-700122,CTR-2025122,87.79,4.18,249.8,Agent Gamma Shipping,India,AIFTA,7.5,1.6
SHP-700123,CTR-2025123,75.73,4.81,363.5,Agent Alpha Logistics,Bangladesh,None,4.0,4.0
SHP-700124,CTR-2025124,25.65,3.76,497.16,Agent Alpha Logistics,USA,None,12.7,12.7
SHP-700125,CTR-2025125,84.48,10.69,502.28,Agent Gamma Shipping,China,ACFTA,11.2,2.5
SHP-700126,CTR-2025126,79.96,10.19,254.81,Agent Alpha Logistics,Saudi Arabia,None,9.1,9.1
SHP-700127,CTR-2025127,79.95,9.54,220.06,Agent Alpha Logistics,Turkey,None,14.8,14.8
SHP-700128,CTR-2025128,39.67,4.91,180.0,Agent Gamma Shipping,Netherlands,EU MFN,12.5,3.7
SHP-700129,CTR-2025129,89.91,3.22,528.73,Agent Alpha Logistics,China,ACFTA,13.0,5.0
SHP-700130,CTR-2025130,61.05,11.11,183.94,Agent Beta Freight,China,ACFTA,14.1,2.9
SHP-700131,CTR-2025131,41.27,9.02,423.14,Agent Alpha Logistics,Malaysia,Domestic,13.7,5.9
SHP-700132,CTR-2025132,37.25,10.24,372.67,Agent Beta Freight,Malaysia,Domestic,14.6,4.9
SHP-700133,CTR-2025133,30.6,8.03,215.0,Agent Gamma Shipping,USA,None,9.0,9.0
SHP-700134,CTR-2025134,53.73,6.01,153.82,Agent Alpha Logistics,India,AIFTA,9.3,4.6
SHP-700135,CTR-2025135,74.47,9.42,173.82,Agent Beta Freight,Saudi Arabia,None,7.4,7.4
SHP-700136,CTR-2025136,74.07,11.6,232.72,Agent Beta Freight,India,AIFTA,5.9,2.1
SHP-700137,CTR-2025137,62.5,4.39,463.66,Agent Beta Freight,USA,None,7.3,7.3
SHP-700138,CTR-2025138,61.41,6.48,152.64,Agent Alpha Logistics,Malaysia,Domestic,8.0,3.8
SHP-700139,CTR-2025139,30.1,10.93,564.02,Agent Beta Freight,China,ACFTA,3.9,2.2
SHP-700140,CTR-2025140,42.59,6.33,573.86,Agent Alpha Logistics,Malaysia,Domestic,9.8,6.3
SHP-700141,CTR-2025141,73.07,3.78,334.64,Agent Gamma Shipping,Bangladesh,None,11.0,11.0
SHP-700142,CTR-2025142,55.6,3.44,354.28,Agent Gamma Shipping,Netherlands,EU MFN,5.3,3.2
SHP-700143,CTR-2025143,44.61,6.46,272.54,Agent Alpha Logistics,China,ACFTA,13.3,7.6
SHP-700144,CTR-2025144,32.64,5.27,411.71,Agent Alpha Logistics,USA,None,14.0,14.0
SHP-700145,CTR-2025145,59.68,8.37,385.48,Agent Gamma Shipping,India,AIFTA,7.4,4.5
SHP-700146,CTR-2025146,32.59,4.16,288.76,Agent Gamma Shipping,Pakistan,MPCEPA-like,9.4,6.3
SHP-700147,CTR-2025147,81.52,9.88,195.83,Agent Beta Freight,China,ACFTA,6.0,1.3
SHP-700148,CTR-2025148,72.35,4.8,375.76,Agent Gamma Shipping,Bangladesh,None,7.5,7.5
SHP-700149,CTR-2025149,72.16,4.02,368.28,Agent Beta Freight,Nigeria,None,7.9,7.9
SHP-700150,CTR-2025150,60.15,10.37,461.8,Agent Gamma Shipping,India,AIFTA,5.1,3.1
SHP-700151,CTR-2025151,61.13,9.3,449.59,Agent Gamma Shipping,Pakistan,MPCEPA-like,7.9,2.1
SHP-700152,CTR-2025152,59.1,8.75,558.09,Agent Alpha Logistics,Sri Lanka,None,7.1,7.1
SHP-700153,CTR-2025153,63.18,3.77,490.36,Agent Gamma Shipping,Egypt,None,8.4,8.4
SHP-700154,CTR-2025154,76.62,7.45,334.77,Agent Gamma Shipping,Pakistan,MPCEPA-like,13.7,4.6
SHP-700155,CTR-2025155,83.41,11.07,536.54,Agent Gamma Shipping,Sri Lanka,None,11.2,11.2
SHP-700156,CTR-2025156,30.77,10.78,257.72,Agent Alpha Logistics,Netherlands,EU MFN,6.8,2.0
SHP-700157,CTR-2025157,52.17,5.26,210.74,Agent Beta Freight,Sri Lanka,None,6.8,6.8
SHP-700158,CTR-2025158,44.25,8.15,306.02,Agent Gamma Shipping,Bangladesh,None,8.3,8.3
SHP-700159,CTR-2025159,73.52,11.04,299.4,Agent Gamma Shipping,Bangladesh,None,12.1,12.1
SHP-700160,CTR-2025160,73.39,4.37,305.53,Agent Gamma Shipping,Saudi Arabia,None,4.6,4.6
SHP-700161,CTR-2025161,77.5,5.22,209.27,Agent Alpha Logistics,Saudi Arabia,None,3.8,3.8
SHP-700162,CTR-2025162,80.82,8.7,387.41,Agent Beta Freight,Pakistan,MPCEPA-like,6.0,2.9
SHP-700163,CTR-2025163,67.6,5.1,462.36,Agent Alpha Logistics,Singapore,AFTA,13.4,4.8
SHP-700164,CTR-2025164,26.05,6.35,182.73,Agent Alpha Logistics,Pakistan,MPCEPA-like,7.2,3.4
SHP-700165,CTR-2025165,76.36,4.96,511.45,Agent Beta Freight,Nigeria,None,11.1,11.1
SHP-700166,CTR-2025166,61.52,9.67,513.99,Agent Alpha Logistics,China,ACFTA,10.9,4.1
SHP-700167,CTR-2025167,44.16,8.14,320.53,Agent Gamma Shipping,Turkey,None,11.9,11.9
SHP-700168,CTR-2025168,44.68,7.13,568.46,Agent Gamma Shipping,Bangladesh,None,12.8,12.8
SHP-700169,CTR-2025169,60.43,8.95,194.35,Agent Beta Freight,Bangladesh,None,13.8,13.8
SHP-700170,CTR-2025170,40.09,9.38,535.66,Agent Alpha Logistics,Bangladesh,None,12.9,12.9
SHP-700171,CTR-2025171,51.98,3.8,253.83,Agent Beta Freight,Sri Lanka,None,8.3,8.3
SHP-700172,CTR-2025172,43.93,9.95,522.41,Agent Gamma Shipping,Sri Lanka,None,3.9,3.9
SHP-700173,CTR-2025173,52.8,8.36,301.81,Agent Alpha Logistics,Saudi Arabia,None,4.1,4.1
SHP-700174,CTR-2025174,30.83,11.65,250.62,Agent Alpha Logistics,Netherlands,EU MFN,12.7,5.5
SHP-700175,CTR-2025175,85.67,6.1,574.7,Agent Beta Freight,Pakistan,MPCEPA-like,4.9,2.4
SHP-700176,CTR-2025176,25.25,5.14,226.99,Agent Gamma Shipping,Sri Lanka,None,14.3,14.3
SHP-700177,CTR-2025177,32.36,8.13,597.55,Agent Beta Freight,Pakistan,MPCEPA-like,13.3,5.8
SHP-700178,CTR-2025178,69.15,3.67,333.55,Agent Gamma Shipping,Saudi Arabia,None,14.9,14.9
SHP-700179,CTR-2025179,43.68,8.02,188.91,Agent Gamma Shipping,Nigeria,None,6.7,6.7
SHP-700180,CTR-2025180,25.09,7.05,599.64,Agent Beta Freight,Pakistan,MPCEPA-like,13.0,6.3
SHP-700181,CTR-2025181,43.65,5.52,278.33,Agent Alpha Logistics,Singapore,AFTA,4.9,1.4
SHP-700182,CTR-2025182,76.53,11.15,546.58,Agent Alpha Logistics,Netherlands,EU MFN,14.7,4.6
SHP-700183,CTR-2025183,46.34,4.02,436.25,Agent Beta Freight,Saudi Arabia,None,13.4,13.4
SHP-700184,CTR-2025184,35.71,6.87,481.56,Agent Gamma Shipping,Sri Lanka,None,6.4,6.4
SHP-700185,CTR-2025185,54.47,11.9,309.76,Agent Beta Freight,USA,None,3.7,3.7
SHP-700186,CTR-2025186,56.32,7.53,543.64,Agent Alpha Logistics,Pakistan,MPCEPA-like,6.8,3.8
SHP-700187,CTR-2025187,86.02,10.25,397.75,Agent Beta Freight,Nigeria,None,13.2,13.2
SHP-700188,CTR-2025188,78.68,5.73,292.61,Agent Gamma Shipping,USA,None,7.8,7.8
SHP-700189,CTR-2025189,55.38,5.57,290.78,Agent Gamma Shipping,Turkey,None,14.5,14.5
SHP-700190,CTR-2025190,31.37,7.74,199.74,Agent Alpha Logistics,Turkey,None,3.7,3.7
SHP-700191,CTR-2025191,39.26,7.18,482.76,Agent Beta Freight,India,AIFTA,8.2,4.9
SHP-700192,CTR-2025192,52.71,6.0,498.3,Agent Beta Freight,Nigeria,None,6.8,6.8
SHP-700193,CTR-2025193,28.38,3.12,364.72,Agent Gamma Shipping,Sri Lanka,None,12.5,12.5
SHP-700194,CTR-2025194,33.51,5.12,469.4,Agent Gamma Shipping,India,AIFTA,14.2,8.9
SHP-700195,CTR-2025195,56.34,7.68,246.87,Agent Alpha Logistics,Pakistan,MPCEPA-like,14.7,10.0
SHP-700196,CTR-2025196,77.72,4.78,454.24,Agent Alpha Logistics,Sri Lanka,None,5.6,5.6
SHP-700197,CTR-2025197,51.33,11.38,563.33,Agent Alpha Logistics,Malaysia,Domestic,4.1,1.9
SHP-700198,CTR-2025198,83.77,4.41,221.73,Agent Gamma Shipping,Pakistan,MPCEPA-like,7.4,3.8
SHP-700199,CTR-2025199,87.92,11.23,188.43,Agent Beta Freight,China,ACFTA,5.0,1.3
SHP-700200,CTR-2025200,84.11,4.74,351.98,Agent Gamma Shipping,Saudi Arabia,None,8.0,8.0
SHP-700201,CTR-2025201,63.94,3.65,569.17,Agent Gamma Shipping,Egypt,None,5.7,5.7
SHP-700202,CTR-2025202,84.05,10.03,432.58,Agent Alpha Logistics,India,AIFTA,3.2,1.2
SHP-700203,CTR-2025203,42.89,11.19,182.36,Agent Alpha Logistics,Egypt,None,10.6,10.6
SHP-700204,CTR-2025204,84.09,11.62,286.51,Agent Alpha Logistics,China,ACFTA,3.9,1.8
SHP-700205,CTR-2025205,50.53,4.62,376.38,Agent Gamma Shipping,Malaysia,Domestic,9.9,6.7
SHP-700206,CTR-2025206,30.39,8.58,535.17,Agent Beta Freight,Bangladesh,None,7.1,7.1
SHP-700207,CTR-2025207,53.25,4.74,495.94,Agent Beta Freight,Turkey,None,5.3,5.3
SHP-700208,CTR-2025208,42.26,9.91,359.47,Agent Beta Freight,Malaysia,Domestic,5.5,2.0
SHP-700209,CTR-2025209,86.31,11.39,217.23,Agent Beta Freight,India,AIFTA,5.5,2.1
SHP-700210,CTR-2025210,58.15,7.15,322.61,Agent Gamma Shipping,Singapore,AFTA,13.8,9.2
SHP-700211,CTR-2025211,56.96,11.07,151.65,Agent Alpha Logistics,Nigeria,None,12.7,12.7
SHP-700212,CTR-2025212,45.8,6.8,239.81,Agent Alpha Logistics,Nigeria,None,5.8,5.8
SHP-700213,CTR-2025213,27.46,8.79,173.56,Agent Beta Freight,Egypt,None,6.2,6.2
SHP-700214,CTR-2025214,40.01,10.22,337.23,Agent Gamma Shipping,Malaysia,Domestic,13.2,5.8
SHP-700215,CTR-2025215,88.56,4.81,227.74,Agent Beta Freight,Singapore,AFTA,5.6,1.9
SHP-700216,CTR-2025216,49.66,11.2,570.48,Agent Beta Freight,Malaysia,Domestic,10.4,4.2
SHP-700217,CTR-2025217,28.15,4.89,167.8,Agent Gamma Shipping,China,ACFTA,9.8,5.0
SHP-700218,CTR-2025218,51.2,8.84,294.25,Agent Beta Freight,Pakistan,MPCEPA-like,11.4,5.9
SHP-700219,CTR-2025219,31.08,6.84,363.83,Agent Alpha Logistics,China,ACFTA,4.5,3.0
SHP-700220,CTR-2025220,45.62,9.9,515.39,Agent Gamma Shipping,India,AIFTA,9.0,3.2
SHP-700221,CTR-2025221,81.36,9.06,493.48,Agent Beta Freight,India,AIFTA,3.6,1.7
SHP-700222,CTR-2025222,33.87,5.06,159.05,Agent Alpha Logistics,Nigeria,None,13.6,13.6
SHP-700223,CTR-2025223,73.93,7.26,153.19,Agent Gamma Shipping,Egypt,None,8.4,8.4
SHP-700224,CTR-2025224,78.26,6.24,466.18,Agent Beta Freight,Malaysia,Domestic,9.5,5.1
SHP-700225,CTR-2025225,87.14,7.78,579.17,Agent Beta Freight,Bangladesh,None,7.8,7.8
SHP-700226,CTR-2025226,66.74,5.68,312.98,Agent Alpha Logistics,Pakistan,MPCEPA-like,4.5,2.8
SHP-700227,CTR-2025227,67.93,7.24,177.31,Agent Gamma Shipping,Pakistan,MPCEPA-like,5.4,2.7
SHP-700228,CTR-2025228,51.87,7.92,486.9,Agent Beta Freight,Nigeria,None,8.2,8.2
SHP-700229,CTR-2025229,78.82,9.94,237.36,Agent Alpha Logistics,Egypt,None,3.5,3.5
SHP-700230,CTR-2025230,59.88,11.41,529.14,Agent Alpha Logistics,Egypt,None,13.0,13.0
SHP-700231,CTR-2025231,44.71,6.87,220.82,Agent Beta Freight,Nigeria,None,8.6,8.6
SHP-700232,CTR-2025232,27.02,11.52,257.98,Agent Beta Freight,Nigeria,None,5.9,5.9
SHP-700233,CTR-2025233,30.42,11.36,560.21,Agent Gamma Shipping,India,AIFTA,10.0,5.3
SHP-700234,CTR-2025234,47.47,8.59,234.05,Agent Alpha Logistics,USA,None,3.5,3.5
SHP-700235,CTR-2025235,79.03,9.9,390.1,Agent Alpha Logistics,China,ACFTA,7.2,2.8
SHP-700236,CTR-2025236,25.02,5.17,262.72,Agent Gamma Shipping,Egypt,None,5.5,5.5
SHP-700237,CTR-2025237,77.38,5.52,539.54,Agent Beta Freight,Malaysia,Domestic,5.3,2.4
SHP-700238,CTR-2025238,40.69,3.71,486.44,Agent Gamma Shipping,Saudi Arabia,None,7.3,7.3
SHP-700239,CTR-2025239,60.79,10.35,421.71,Agent Gamma Shipping,Pakistan,MPCEPA-like,14.5,8.6
SHP-700240,CTR-2025240,57.07,3.36,218.5,Agent Gamma Shipping,China,ACFTA,14.8,5.8
SHP-700241,CTR-2025241,68.34,5.56,350.58,Agent Gamma Shipping,India,AIFTA,10.0,4.9
SHP-700242,CTR-2025242,79.35,5.38,448.63,Agent Gamma Shipping,India,AIFTA,8.4,3.9
SHP-700243,CTR-2025243,75.96,6.55,569.69,Agent Alpha Logistics,Malaysia,Domestic,10.8,3.0
SHP-700244,CTR-2025244,49.9,9.57,242.33,Agent Beta Freight,Bangladesh,None,3.2,3.2
SHP-700245,CTR-2025245,56.66,10.9,367.71,Agent Alpha Logistics,Pakistan,MPCEPA-like,9.3,6.2
SHP-700246,CTR-2025246,56.88,4.08,554.83,Agent Gamma Shipping,Netherlands,EU MFN,12.6,4.1
