shipment_id,contract_ref,sales_order,delivery_mode,stage_gate,lct_status,sap_status,k2_flag,k2_chit_flag,customs_release_flag,customs_official_receipt_flag,certificate_of_origin_flag,bill_of_lading_flag,shipment_tender_flag,loi_flag,commercial_invoice_flag,ocr_confidence_pct
SHP-700073,CTR-2025073,SO-500073,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,73.8
SHP-700074,CTR-2025074,SO-500074,Sea,SG9,In Progress,Open,Y,N,Y,Y,N,Y,Y,N,Y,73.2
SHP-700075,CTR-2025075,SO-500075,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,83.6
SHP-700076,CTR-2025076,SO-500076,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,95.2
SHP-700077,CTR-2025077,SO-500077,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,90.6
SHP-700078,CTR-2025078,SO-500078,Sea,SG5,In Progress,Open,Y,N,N,Y,Y,N,Y,N,Y,72.7
SHP-700079,CTR-2025079,SO-500079,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,N,Y,N,Y,88.4
SHP-700080,CTR-2025080,SO-500080,Sea,SG7,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,72.7
SHP-700081,CTR-2025081,SO-500081,Sea,SG8,In Progress,Cancelled,Y,Y,N,N,Y,Y,Y,N,Y,72.6
SHP-700082,CTR-2025082,SO-500082,Sea,SG8,In Progress,Delivered,Y,Y,Y,N,Y,N,Y,Y,Y,96.0
SHP-700083,CTR-2025083,SO-500083,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,81.2
SHP-700084,CTR-2025084,SO-500084,Sea,SG8,In Progress,Delivered,Y,N,Y,Y,Y,Y,Y,Y,Y,80.2
SHP-700085,CTR-2025085,SO-500085,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,Y,Y,81.4
SHP-700086,CTR-2025086,SO-500086,Sea,SG9,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,95.8
SHP-700087,CTR-2025087,SO-500087,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,86.7
SHP-700088,CTR-2025088,SO-500088,Sea,SG6,In Progress,Open,Y,Y,Y,Y,Y,N,Y,Y,Y,93.3
SHP-700089,CTR-2025089,SO-500089,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,98.5
SHP-700090,CTR-2025090,SO-500090,Land,SG8,In Progress,Delivered,Y,Y,Y,Y,N/A,N,Y,N,Y,92.6
SHP-700091,CTR-2025091,SO-500091,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,94.3
SHP-700092,CTR-2025092,SO-500092,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,Y,Y,94.9
SHP-700093,CTR-2025093,SO-500093,Sea,SG7,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,Y,Y,72.5
SHP-700094,CTR-2025094,SO-500094,Sea,SG7,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,93.7
SHP-700095,CTR-2025095,SO-500095,Sea,SG5,In Progress,Delivered,Y,N,N,Y,Y,N,Y,Y,Y,80.0
SHP-700096,CTR-2025096,SO-500096,Sea,SG9,In Progress,Delivered,N,Y,Y,N,Y,Y,Y,Y,Y,89.8
SHP-700097,CTR-2025097,SO-500097,Sea,SG9,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,83.0
SHP-700098,CTR-2025098,SO-500098,Sea,SG6,In Progress,Open,N,Y,Y,Y,N,Y,Y,N,Y,86.1
SHP-700099,CTR-2025099,SO-500099,Sea,SG6,In Progress,Open,Y,N,Y,Y,Y,Y,N,N,Y,82.9
SHP-700100,CTR-2025100,SO-500100,Sea,SG7,In Progress,Cancelled,Y,Y,Y,Y,Y,N,Y,N,Y,80.7
SHP-700101,CTR-2025101,SO-500101,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,75.3
SHP-700102,CTR-2025102,SO-500102,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,78.5
SHP-700103,CTR-2025103,SO-500103,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,79.3
SHP-700104,CTR-2025104,SO-500104,Sea,SG4,In Progress,Delivered,Y,Y,Y,N,N,N,Y,Y,Y,72.0
SHP-700105,CTR-2025105,SO-500105,Sea,SG5,In Progress,Open,Y,N,Y,N,N,N,N,Y,Y,78.7
SHP-700106,CTR-2025106,SO-500106,Sea,SG8,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,Y,Y,93.3
SHP-700107,CTR-2025107,SO-500107,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,85.3
SHP-700108,CTR-2025108,SO-500108,Sea,SG8,In Progress,Open,Y,Y,N,N,Y,Y,Y,Y,Y,98.1
SHP-700109,CTR-2025109,SO-500109,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,N,Y,Y,Y,73.3
SHP-700110,CTR-2025110,SO-500110,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,82.0
SHP-700111,CTR-2025111,SO-500111,Sea,SG9,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,84.8
SHP-700112,CTR-2025112,SO-500112,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,91.9
SHP-700113,CTR-2025113,SO-500113,Sea,SG9,In Progress,Cancelled,Y,Y,Y,N,Y,N,Y,Y,Y,81.9
SHP-700114,CTR-2025114,SO-500114,Sea,SG8,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,N,Y,81.1
SHP-700115,CTR-2025115,SO-500115,Sea,SG9,In Progress,Delivered,N,N,Y,Y,Y,Y,Y,N,Y,72.3
SHP-700116,CTR-2025116,SO-500116,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,86.1
SHP-700117,CTR-2025117,SO-500117,Sea,SG9,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,72.5
SHP-700118,CTR-2025118,SO-500118,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,89.5
SHP-700119,CTR-2025119,SO-500119,Sea,SG7,In Progress,Open,Y,Y,Y,Y,N,Y,Y,Y,Y,82.7
SHP-700120,CTR-2025120,SO-500120,Sea,SG7,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,Y,Y,73.6
SHP-700121,CTR-2025121,SO-500121,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,Y,Y,81.9
SHP-700122,CTR-2025122,SO-500122,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,N,Y,Y,N,Y,93.9
SHP-700123,CTR-2025123,SO-500123,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,84.7
SHP-700124,CTR-2025124,SO-500124,Sea,SG4,In Progress,Delivered,Y,Y,N,N,N,Y,Y,Y,Y,75.6
SHP-700125,CTR-2025125,SO-500125,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,93.8
SHP-700126,CTR-2025126,SO-500126,Sea,SG6,In Progress,Cancelled,Y,Y,N,N,Y,Y,Y,N,Y,73.3
SHP-700127,CTR-2025127,SO-500127,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,97.7
SHP-700128,CTR-2025128,SO-500128,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,74.0
SHP-700129,CTR-2025129,SO-500129,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,86.1
SHP-700130,CTR-2025130,SO-500130,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,90.0
SHP-700131,CTR-2025131,SO-500131,Sea,SG9,In Progress,Delivered,N,Y,Y,N,Y,Y,Y,N,Y,97.0
SHP-700132,CTR-2025132,SO-500132,Sea,SG6,In Progress,Cancelled,Y,Y,Y,Y,N,Y,N,Y,Y,83.6
SHP-700133,CTR-2025133,SO-500133,Sea,SG6,In Progress,Delivered,N,Y,N,Y,Y,Y,Y,N,Y,98.8
SHP-700134,CTR-2025134,SO-500134,Sea,SG6,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,87.6
SHP-700135,CTR-2025135,SO-500135,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,77.2
SHP-700136,CTR-2025136,SO-500136,Sea,SG6,In Progress,Delivered,Y,N,Y,N,Y,Y,Y,N,Y,95.4
SHP-700137,CTR-2025137,SO-500137,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,79.6
SHP-700138,CTR-2025138,SO-500138,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,85.4
SHP-700139,CTR-2025139,SO-500139,Sea,SG6,In Progress,Cancelled,Y,Y,Y,Y,N,Y,N,N,Y,73.9
SHP-700140,CTR-2025140,SO-500140,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,92.8
SHP-700141,CTR-2025141,SO-500141,Sea,SG9,In Progress,Cancelled,Y,N,Y,Y,Y,Y,N,N,Y,75.5
SHP-700142,CTR-2025142,SO-500142,Land,SG6,In Progress,Delivered,Y,N,Y,Y,N/A,Y,Y,N,Y,78.1
SHP-700143,CTR-2025143,SO-500143,Sea,SG6,In Progress,Delivered,Y,Y,N,Y,N,Y,Y,Y,Y,89.9
SHP-700144,CTR-2025144,SO-500144,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,76.9
SHP-700145,CTR-2025145,SO-500145,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,89.8
SHP-700146,CTR-2025146,SO-500146,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,73.1
SHP-700147,CTR-2025147,SO-500147,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,85.7
SHP-700148,CTR-2025148,SO-500148,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,N,Y,90.8
SHP-700149,CTR-2025149,SO-500149,Sea,SG7,In Progress,Delivered,Y,Y,Y,N,N,Y,Y,N,Y,98.4
SHP-700150,CTR-2025150,SO-500150,Sea,SG6,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,N,Y,76.4
SHP-700151,CTR-2025151,SO-500151,Sea,SG9,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,98.2
SHP-700152,CTR-2025152,SO-500152,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,N,Y,Y,85.6
SHP-700153,CTR-2025153,SO-500153,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,95.4
SHP-700154,CTR-2025154,SO-500154,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,Y,Y,88.9
SHP-700155,CTR-2025155,SO-500155,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,79.8
SHP-700156,CTR-2025156,SO-500156,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,N,N,Y,93.2
SHP-700157,CTR-2025157,SO-500157,Sea,SG8,In Progress,Cancelled,Y,Y,Y,N,Y,Y,Y,N,Y,89.3
SHP-700158,CTR-2025158,SO-500158,Land,SG10,Complete,Cancelled,Y,Y,Y,Y,N/A,Y,Y,Y,Y,79.5
SHP-700159,CTR-2025159,SO-500159,Sea,SG9,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,N,Y,75.1
SHP-700160,CTR-2025160,SO-500160,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,77.5
SHP-700161,CTR-2025161,SO-500161,Land,SG10,Complete,Open,Y,Y,Y,Y,N/A,Y,Y,Y,Y,74.1
SHP-700162,CTR-2025162,SO-500162,Sea,SG7,In Progress,Delivered,N,Y,N,Y,Y,Y,Y,Y,Y,79.2
SHP-700163,CTR-2025163,SO-500163,Sea,SG7,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,Y,Y,79.3
SHP-700164,CTR-2025164,SO-500164,Sea,SG7,In Progress,Delivered,Y,Y,N,N,Y,Y,Y,Y,Y,95.8
SHP-700165,CTR-2025165,SO-500165,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,78.8
SHP-700166,CTR-2025166,SO-500166,Sea,SG6,In Progress,Cancelled,Y,Y,Y,N,Y,N,Y,Y,Y,74.8
SHP-700167,CTR-2025167,SO-500167,Sea,SG3,In Progress,Open,N,Y,Y,Y,N,N,Y,N,Y,83.7
SHP-700168,CTR-2025168,SO-500168,Sea,SG8,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,74.5
SHP-700169,CTR-2025169,SO-500169,Sea,SG8,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,78.7
SHP-700170,CTR-2025170,SO-500170,Sea,SG9,In Progress,Open,N,Y,Y,Y,Y,Y,Y,N,Y,94.6
SHP-700171,CTR-2025171,SO-500171,Sea,SG10,Complete,Delivered,Y,Y,Y,Y,Y,Y,Y,Y,Y,91.9
SHP-700172,CTR-2025172,SO-500172,Sea,SG9,In Progress,Open,Y,N,Y,Y,Y,Y,Y,N,Y,81.9
SHP-700173,CTR-2025173,SO-500173,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,83.5
SHP-700174,CTR-2025174,SO-500174,Sea,SG8,In Progress,Open,Y,Y,N,Y,Y,Y,Y,N,Y,72.6
SHP-700175,CTR-2025175,SO-500175,Sea,SG9,In Progress,Cancelled,Y,Y,Y,Y,N,Y,Y,N,Y,83.1
SHP-700176,CTR-2025176,SO-500176,Sea,SG7,In Progress,Cancelled,Y,Y,Y,N,N,Y,Y,N,Y,95.8
SHP-700177,CTR-2025177,SO-500177,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,86.5
SHP-700178,CTR-2025178,SO-500178,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,Y,N,Y,Y,Y,80.8
SHP-700179,CTR-2025179,SO-500179,Sea,SG9,In Progress,Delivered,Y,Y,Y,N,Y,Y,Y,N,Y,85.6
SHP-700180,CTR-2025180,SO-500180,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,Y,Y,88.5
SHP-700181,CTR-2025181,SO-500181,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,N,Y,Y,N,Y,72.1
SHP-700182,CTR-2025182,SO-500182,Sea,SG8,In Progress,Open,Y,Y,Y,N,Y,Y,Y,N,Y,96.1
SHP-700183,CTR-2025183,SO-500183,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,73.6
SHP-700184,CTR-2025184,SO-500184,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,83.6
SHP-700185,CTR-2025185,SO-500185,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,89.0
SHP-700186,CTR-2025186,SO-500186,Sea,SG6,In Progress,Delivered,Y,N,N,Y,Y,Y,Y,N,Y,77.6
SHP-700187,CTR-2025187,SO-500187,Sea,SG9,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,N,Y,73.9
SHP-700188,CTR-2025188,SO-500188,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,86.5
SHP-700189,CTR-2025189,SO-500189,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,Y,Y,77.0
SHP-700190,CTR-2025190,SO-500190,Sea,SG8,In Progress,Open,Y,Y,N,Y,Y,Y,Y,Y,Y,77.5
SHP-700191,CTR-2025191,SO-500191,Sea,SG8,In Progress,Delivered,N,Y,Y,Y,Y,Y,Y,N,Y,74.0
SHP-700192,CTR-2025192,SO-500192,Sea,SG9,In Progress,Cancelled,Y,Y,Y,Y,Y,N,Y,N,Y,81.5
SHP-700193,CTR-2025193,SO-500193,Sea,SG8,In Progress,Open,Y,N,Y,Y,Y,Y,Y,Y,Y,72.2
SHP-700194,CTR-2025194,SO-500194,Sea,SG7,In Progress,Delivered,Y,Y,N,Y,Y,Y,Y,Y,Y,73.8
SHP-700195,CTR-2025195,SO-500195,Sea,SG10,Complete,Cancelled,Y,Y,Y,Y,Y,Y,Y,N,Y,90.1
SHP-700196,CTR-2025196,SO-500196,Sea,SG8,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,92.5
SHP-700197,CTR-2025197,SO-500197,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,91.3
SHP-700198,CTR-2025198,SO-500198,Sea,SG6,In Progress,Cancelled,Y,N,Y,Y,Y,Y,Y,N,Y,85.7
SHP-700199,CTR-2025199,SO-500199,Sea,SG6,In Progress,Delivered,Y,N,Y,Y,Y,N,Y,Y,Y,79.3
SHP-700200,CTR-2025200,SO-500200,Sea,SG10,Complete,Open,Y,Y,Y,Y,Y,Y,Y,N,Y,90.8
SHP-700201,CTR-2025201,SO-500201,Sea,SG7,In Progress,Delivered,Y,Y,Y,Y,N,Y,Y,Y,Y,77.1
